âge;Hommes;Femmes;année.référence;versant;âge;Hommes;Femmes;année.référence;versant;;;âge;Hommes;Femmes;année.référence;versant;âge;Hommes;Femmes;année.référence;versant 
19;0;0;2010;FPH;19;0,1;-0,1;2010;FPT;;;19;0,8;-3,4;2010;FPH;19;5,3;-6,2;2010;FPT
20;0;-0,2;;;20;0,4;-0,3;;;;;20;1;-4,2;;;20;4,1;-5,9;;
21;0,2;-0,9;;;21;1,1;-0,8;;;;;21;1,4;-6,3;;;21;4,9;-7,5;;
22;0,4;-3;;;22;1,9;-1,4;;;;;22;1,7;-8,3;;;22;5;-8,4;;
23;0,9;-6,1;;;23;2,7;-2,6;;;;;23;2;-9,5;;;23;4,9;-8,9;;
24;1,3;-9,1;;;24;3,8;-4;;;;;24;2,7;-11;;;24;4,9;-9,2;;
25;1,7;-11,7;;;25;4,7;-5,3;;;;;25;3,2;-11,4;;;25;4,7;-8,9;;
26;1,9;-13,4;;;26;5,7;-7;;;;;26;3,2;-10,1;;;26;4,3;-8,2;;
27;2,3;-14,6;;;27;6,6;-8,3;;;;;27;3;-8,5;;;27;3,9;-7,5;;
28;2,8;-16,8;;;28;8,3;-10,7;;;;;28;3,1;-7,8;;;28;4,1;-7,3;;
29;3;-17,5;;;29;9,6;-12,2;;;;;29;2,8;-6,7;;;29;3,9;-7;;
30;3,2;-17,8;;;30;10,3;-13,6;;;;;30;2,8;-6,2;;;30;3,7;-6,8;;
31;3,1;-16,9;;;31;10,8;-14,2;;;;;31;2,6;-5,5;;;31;3,7;-6,3;;
32;3,2;-16,2;;;32;11,5;-14,7;;;;;32;2,4;-5,1;;;32;3,3;-6,1;;
33;3,4;-15,9;;;33;12,4;-15,9;;;;;33;2,4;-4,9;;;33;3,4;-6,3;;
34;3,4;-15,4;;;34;12,8;-16,5;;;;;34;2,1;-4,7;;;34;3,2;-6,2;;
35;3,7;-16,2;;;35;14,2;-17,7;;;;;35;2,1;-4,6;;;35;3,1;-6,3;;
36;4,2;-17,2;;;36;16,4;-20,3;;;;;36;2;-4,7;;;36;3,5;-6,9;;
37;4,5;-19;;;37;18,2;-22,7;;;;;37;2;-4,6;;;37;3,5;-7,4;;
38;4,8;-20,3;;;38;18,8;-24,3;;;;;38;1,9;-4,7;;;38;3,4;-7,8;;
39;4,8;-20,8;;;39;18,9;-25,4;;;;;39;2,1;-4,5;;;39;3,2;-7,7;;
40;4,7;-20,2;;;40;18,7;-25,5;;;;;40;2;-4,3;;;40;3,3;-7,7;;
41;4,8;-20,3;;;41;18,8;-26,2;;;;;41;1,9;-4,2;;;41;3,2;-7,7;;
42;4,8;-20,1;;;42;18,9;-26,7;;;;;42;1,9;-4,2;;;42;3;-7,7;;
43;4,8;-20;;;43;19,2;-27,9;;;;;43;1,8;-3,8;;;43;3;-8;;
44;5,1;-20,8;;;44;20,4;-29,8;;;;;44;1,9;-4;;;44;3,1;-8,3;;
45;5,2;-20,7;;;45;21,2;-30,8;;;;;45;2;-3,9;;;45;3;-8,2;;
46;5,2;-21,3;;;46;22,2;-32,2;;;;;46;2;-4;;;46;3,1;-8,5;;
47;5,5;-21,6;;;47;21,9;-31,7;;;;;47;2,2;-3,7;;;47;3,1;-8,3;;
48;5,3;-21,4;;;48;21,4;-30,5;;;;;48;2,1;-3,5;;;48;2,9;-7,9;;
49;5,8;-22,3;;;49;22,2;-30,8;;;;;49;2,1;-3,4;;;49;2,8;-8;;
50;5,7;-22,7;;;50;22,2;-29,8;;;;;50;2,1;-3,4;;;50;2,7;-7,8;;
51;6;-23;;;51;21,9;-30;;;;;51;2;-3,4;;;51;2,8;-7,8;;
52;6,2;-23;;;52;21,7;-28,7;;;;;52;2,1;-3,2;;;52;2,8;-7,5;;
53;6,2;-23,7;;;53;21;-27,7;;;;;53;2,2;-3,2;;;53;2,8;-7,3;;
54;6,2;-22,6;;;54;20,5;-26,3;;;;;54;2,1;-3;;;54;2,8;-7,3;;
55;5,7;-18,4;;;55;18,9;-25;;;;;55;2,1;-3,2;;;55;2,8;-6,9;;
56;5,3;-14,6;;;56;18,1;-24,1;;;;;56;2,1;-3;;;56;2,8;-6,6;;
57;4,6;-11,7;;;57;16,8;-22,6;;;;;57;2;-2,8;;;57;2,7;-6,2;;
58;3,4;-9,4;;;58;14,2;-21,4;;;;;58;2;-2,6;;;58;2,4;-5,9;;
59;2,9;-7,6;;;59;11,8;-19,3;;;;;59;1,8;-2,2;;;59;2,1;-5,3;;
60;1,4;-3,9;;;60;6,6;-11,3;;;;;60;1,7;-1,6;;;60;1,6;-4,1;;
61;0,8;-1,9;;;61;3,9;-6,9;;;;;61;1,7;-1,3;;;61;1,2;-2,9;;
62;0,5;-1,1;;;62;2,5;-4,6;;;;;62;1,5;-1;;;62;1;-2,4;;
63;0,3;-0,6;;;63;1,7;-3,4;;;;;63;1,3;-0,8;;;63;0,9;-1,9;;
64;0,2;-0,4;;;64;1,2;-2,4;;;;;64;1;-0,6;;;64;0,7;-1,5;;
65;0,1;-0,2;;;65;0,5;-1;;;;;65;1,6;-0,8;;;65;1,1;-1,8;;
