âge;Hommes;Femmes;année.référence;versant
19;0,8;-3,4;2010;FPH
20;1;-4,2;;
21;1,4;-6,3;;
22;1,7;-8,3;;
23;2;-9,5;;
24;2,7;-11;;
25;3,2;-11,4;;
26;3,2;-10,1;;
27;3;-8,5;;
28;3,1;-7,8;;
29;2,8;-6,7;;
30;2,8;-6,2;;
31;2,6;-5,5;;
32;2,4;-5,1;;
33;2,4;-4,9;;
34;2,1;-4,7;;
35;2,1;-4,6;;
36;2;-4,7;;
37;2;-4,6;;
38;1,9;-4,7;;
39;2,1;-4,5;;
40;2;-4,3;;
41;1,9;-4,2;;
42;1,9;-4,2;;
43;1,8;-3,8;;
44;1,9;-4;;
45;2;-3,9;;
46;2;-4;;
47;2,2;-3,7;;
48;2,1;-3,5;;
49;2,1;-3,4;;
50;2,1;-3,4;;
51;2;-3,4;;
52;2,1;-3,2;;
53;2,2;-3,2;;
54;2,1;-3;;
55;2,1;-3,2;;
56;2,1;-3;;
57;2;-2,8;;
58;2;-2,6;;
59;1,8;-2,2;;
60;1,7;-1,6;;
61;1,7;-1,3;;
62;1,5;-1;;
63;1,3;-0,8;;
64;1;-0,6;;
65;1,6;-0,8;;
