âge;Hommes;Femmes;année.référence;versant 
19;5,3;-6,2;2010;FPT
20;4,1;-5,9;;
21;4,9;-7,5;;
22;5;-8,4;;
23;4,9;-8,9;;
24;4,9;-9,2;;
25;4,7;-8,9;;
26;4,3;-8,2;;
27;3,9;-7,5;;
28;4,1;-7,3;;
29;3,9;-7;;
30;3,7;-6,8;;
31;3,7;-6,3;;
32;3,3;-6,1;;
33;3,4;-6,3;;
34;3,2;-6,2;;
35;3,1;-6,3;;
36;3,5;-6,9;;
37;3,5;-7,4;;
38;3,4;-7,8;;
39;3,2;-7,7;;
40;3,3;-7,7;;
41;3,2;-7,7;;
42;3;-7,7;;
43;3;-8;;
44;3,1;-8,3;;
45;3;-8,2;;
46;3,1;-8,5;;
47;3,1;-8,3;;
48;2,9;-7,9;;
49;2,8;-8;;
50;2,7;-7,8;;
51;2,8;-7,8;;
52;2,8;-7,5;;
53;2,8;-7,3;;
54;2,8;-7,3;;
55;2,8;-6,9;;
56;2,8;-6,6;;
57;2,7;-6,2;;
58;2,4;-5,9;;
59;2,1;-5,3;;
60;1,6;-4,1;;
61;1,2;-2,9;;
62;1;-2,4;;
63;0,9;-1,9;;
64;0,7;-1,5;;
65;1,1;-1,8;;
