âge;Hommes;Femmes;année.référence;versant
19;0;0;2010;FPH
20;0;-0,2;;
21;0,2;-0,9;;
22;0,4;-3;;
23;0,9;-6,1;;
24;1,3;-9,1;;
25;1,7;-11,7;;
26;1,9;-13,4;;
27;2,3;-14,6;;
28;2,8;-16,8;;
29;3;-17,5;;
30;3,2;-17,8;;
31;3,1;-16,9;;
32;3,2;-16,2;;
33;3,4;-15,9;;
34;3,4;-15,4;;
35;3,7;-16,2;;
36;4,2;-17,2;;
37;4,5;-19;;
38;4,8;-20,3;;
39;4,8;-20,8;;
40;4,7;-20,2;;
41;4,8;-20,3;;
42;4,8;-20,1;;
43;4,8;-20;;
44;5,1;-20,8;;
45;5,2;-20,7;;
46;5,2;-21,3;;
47;5,5;-21,6;;
48;5,3;-21,4;;
49;5,8;-22,3;;
50;5,7;-22,7;;
51;6;-23;;
52;6,2;-23;;
53;6,2;-23,7;;
54;6,2;-22,6;;
55;5,7;-18,4;;
56;5,3;-14,6;;
57;4,6;-11,7;;
58;3,4;-9,4;;
59;2,9;-7,6;;
60;1,4;-3,9;;
61;0,8;-1,9;;
62;0,5;-1,1;;
63;0,3;-0,6;;
64;0,2;-0,4;;
65;0,1;-0,2;;
