âge;Hommes;Femmes;année.référence;versant
19;0,1;-0,1;2010;FPT
20;0,4;-0,3;;
21;1,1;-0,8;;
22;1,9;-1,4;;
23;2,7;-2,6;;
24;3,8;-4;;
25;4,7;-5,3;;
26;5,7;-7;;
27;6,6;-8,3;;
28;8,3;-10,7;;
29;9,6;-12,2;;
30;10,3;-13,6;;
31;10,8;-14,2;;
32;11,5;-14,7;;
33;12,4;-15,9;;
34;12,8;-16,5;;
35;14,2;-17,7;;
36;16,4;-20,3;;
37;18,2;-22,7;;
38;18,8;-24,3;;
39;18,9;-25,4;;
40;18,7;-25,5;;
41;18,8;-26,2;;
42;18,9;-26,7;;
43;19,2;-27,9;;
44;20,4;-29,8;;
45;21,2;-30,8;;
46;22,2;-32,2;;
47;21,9;-31,7;;
48;21,4;-30,5;;
49;22,2;-30,8;;
50;22,2;-29,8;;
51;21,9;-30;;
52;21,7;-28,7;;
53;21;-27,7;;
54;20,5;-26,3;;
55;18,9;-25;;
56;18,1;-24,1;;
57;16,8;-22,6;;
58;14,2;-21,4;;
59;11,8;-19,3;;
60;6,6;-11,3;;
61;3,9;-6,9;;
62;2,5;-4,6;;
63;1,7;-3,4;;
64;1,2;-2,4;;
65;0,5;-1;;
