age;Hommes;Femmes;année.référence;versant
15;32;16;2011;FPT
16;185;94;;
17;578;403;;
18;1 316;1 535;;
19;2 270;3 311;;
20;3 337;5 248;;
21;4 253;6 933;;
22;5 371;8 696;;
23;6 422;10 320;;
24;7 413;11 960;;
25;8 483;13 357;;
26;9 214;14 398;;
27;9 991;15 438;;
28;10 615;16 043;;
29;12 290;18 120;;
30;13 497;19 407;;
31;13 953;20 635;;
32;14 332;20 643;;
33;14 716;21 057;;
34;15 783;22 434;;
35;15 920;22 853;;
36;17 303;24 349;;
37;19 634;27 623;;
38;21 538;30 546;;
39;22 072;32 253;;
40;22 065;33 295;;
41;21 803;33 314;;
42;21 674;33 949;;
43;21 728;34 352;;
44;22 032;35 692;;
45;23 226;37 853;;
46;23 905;38 915;;
47;25 026;40 345;;
48;24 550;39 786;;
49;23 957;37 915;;
50;24 648;38 046;;
51;24 428;36 786;;
52;24 090;36 786;;
53;23 773;35 030;;
54;23 107;33 840;;
55;22 156;32 385;;
56;20 451;30 753;;
57;19 624;29 628;;
58;18 032;27 628;;
59;14 825;25 735;;
60;9 501;18 051;;
61;5 550;10 425;;
62;3 892;7 759;;
63;2 805;5 571;;
64;2 150;4 406;;
65;816;1 726;;
66;303;664;;
67;171;340;;
68;129;177;;
