age;Hommes;Femmes;année.référence;versant
15;97;41;2012;FPH
16;449;276;;
17;848;611;;
18;1 450;1 611;;
19;2 487;3 396;;
20;3 458;5 294;;
21;4 446;6 911;;
22;5 200;8 518;;
23;6 354;10 391;;
24;7 485;12 089;;
25;8 353;13 604;;
26;9 467;14 729;;
27;9 952;15 735;;
28;10 665;16 402;;
29;11 246;16 878;;
30;12 927;19 005;;
31;14 050;20 286;;
32;14 545;21 520;;
33;14 859;21 502;;
34;15 138;21 859;;
35;16 234;23 270;;
36;16 357;23 839;;
37;17 844;25 285;;
38;20 136;28 749;;
39;22 098;31 599;;
40;22 591;33 273;;
41;22 522;34 473;;
42;22 258;34 384;;
43;22 078;35 008;;
44;22 053;35 332;;
45;22 433;36 643;;
46;23 583;38 643;;
47;24 285;39 606;;
48;25 329;41 079;;
49;24 810;40 292;;
50;24 196;38 422;;
51;24 767;38 354;;
52;24 618;37 184;;
53;24 228;37 017;;
54;23 848;35 237;;
55;23 082;33 933;;
56;21 819;32 459;;
57;20 225;30 633;;
58;19 195;29 283;;
59;17 129;27 009;;
60;11 983;23 056;;
61;6 260;11 770;;
62;4 456;8 482;;
63;3 204;6 378;;
64;2 392;4 670;;
65;970;2 097;;
66;524;1 040;;
67;237;426;;
68;149;228;;
