Année 2011 | Mois 01 | Matricule   0607 | Rang global      0 | Rang dans fichier     0 | Analyseur C : N.ligne     34 | Xml : N.ligne     34 | Différence    0
Année 2011 | Mois 01 | Matricule   0504 | Rang global      1 | Rang dans fichier     1 | Analyseur C : N.ligne     25 | Xml : N.ligne     25 | Différence    0
Année 2011 | Mois 01 | Matricule   0638 | Rang global      2 | Rang dans fichier     2 | Analyseur C : N.ligne     28 | Xml : N.ligne     28 | Différence    0
Année 2011 | Mois 01 | Matricule   1206 | Rang global      3 | Rang dans fichier     3 | Analyseur C : N.ligne     41 | Xml : N.ligne     41 | Différence    0
Année 2011 | Mois 01 | Matricule   0608 | Rang global      4 | Rang dans fichier     4 | Analyseur C : N.ligne     28 | Xml : N.ligne     28 | Différence    0
Année 2011 | Mois 01 | Matricule   1164 | Rang global      5 | Rang dans fichier     5 | Analyseur C : N.ligne     42 | Xml : N.ligne     42 | Différence    0
Année 2011 | Mois 01 | Matricule   0211 | Rang global      6 | Rang dans fichier     6 | Analyseur C : N.ligne     45 | Xml : N.ligne     45 | Différence    0
Année 2011 | Mois 01 | Matricule   0324 | Rang global      7 | Rang dans fichier     7 | Analyseur C : N.ligne     37 | Xml : N.ligne     37 | Différence    0
Année 2011 | Mois 01 | Matricule   0393 | Rang global      8 | Rang dans fichier     8 | Analyseur C : N.ligne     38 | Xml : N.ligne     38 | Différence    0
Année 2011 | Mois 01 | Matricule   0001 | Rang global      9 | Rang dans fichier     9 | Analyseur C : N.ligne     34 | Xml : N.ligne     34 | Différence    0
Année 2011 | Mois 01 | Matricule   0007 | Rang global     10 | Rang dans fichier    10 | Analyseur C : N.ligne     33 | Xml : N.ligne     33 | Différence    0
Année 2011 | Mois 01 | Matricule   1288 | Rang global     11 | Rang dans fichier    11 | Analyseur C : N.ligne      7 | Xml : N.ligne      7 | Différence    0
Année 2011 | Mois 01 | Matricule   0854 | Rang global     12 | Rang dans fichier    12 | Analyseur C : N.ligne     24 | Xml : N.ligne     24 | Différence    0
Année 2011 | Mois 01 | Matricule   1297 | Rang global     13 | Rang dans fichier    13 | Analyseur C : N.ligne     29 | Xml : N.ligne     29 | Différence    0
Année 2011 | Mois 01 | Matricule   1187 | Rang global     14 | Rang dans fichier    14 | Analyseur C : N.ligne     34 | Xml : N.ligne     34 | Différence    0
Année 2011 | Mois 01 | Matricule   0679 | Rang global     15 | Rang dans fichier    15 | Analyseur C : N.ligne     32 | Xml : N.ligne     32 | Différence    0
Année 2011 | Mois 01 | Matricule   1101 | Rang global     16 | Rang dans fichier    16 | Analyseur C : N.ligne     36 | Xml : N.ligne     36 | Différence    0
Année 2011 | Mois 01 | Matricule   1192 | Rang global     17 | Rang dans fichier    17 | Analyseur C : N.ligne     44 | Xml : N.ligne     44 | Différence    0
Année 2011 | Mois 01 | Matricule   1273 | Rang global     18 | Rang dans fichier    18 | Analyseur C : N.ligne     42 | Xml : N.ligne     42 | Différence    0
Année 2011 | Mois 01 | Matricule   0492 | Rang global     19 | Rang dans fichier    19 | Analyseur C : N.ligne     25 | Xml : N.ligne     25 | Différence    0
Année 2011 | Mois 01 | Matricule   1156 | Rang global     20 | Rang dans fichier    20 | Analyseur C : N.ligne     38 | Xml : N.ligne     38 | Différence    0
Année 2011 | Mois 01 | Matricule   1195 | Rang global     21 | Rang dans fichier    21 | Analyseur C : N.ligne      8 | Xml : N.ligne      8 | Différence    0
Année 2011 | Mois 01 | Matricule   1212 | Rang global     22 | Rang dans fichier    22 | Analyseur C : N.ligne     48 | Xml : N.ligne     48 | Différence    0
Année 2011 | Mois 01 | Matricule   1018 | Rang global     23 | Rang dans fichier    23 | Analyseur C : N.ligne     30 | Xml : N.ligne     30 | Différence    0
Année 2011 | Mois 01 | Matricule   1058 | Rang global     24 | Rang dans fichier    24 | Analyseur C : N.ligne     33 | Xml : N.ligne     33 | Différence    0
Année 2011 | Mois 01 | Matricule   0637 | Rang global     25 | Rang dans fichier    25 | Analyseur C : N.ligne     41 | Xml : N.ligne     41 | Différence    0
Année 2011 | Mois 01 | Matricule   1131 | Rang global     26 | Rang dans fichier    26 | Analyseur C : N.ligne     34 | Xml : N.ligne     34 | Différence    0
Année 2011 | Mois 01 | Matricule   1301 | Rang global     27 | Rang dans fichier    27 | Analyseur C : N.ligne     46 | Xml : N.ligne     46 | Différence    0
Année 2011 | Mois 01 | Matricule   0626 | Rang global     28 | Rang dans fichier    28 | Analyseur C : N.ligne     24 | Xml : N.ligne     24 | Différence    0
Année 2011 | Mois 01 | Matricule   1200 | Rang global     29 | Rang dans fichier    29 | Analyseur C : N.ligne      8 | Xml : N.ligne      8 | Différence    0
Année 2011 | Mois 01 | Matricule   1289 | Rang global     30 | Rang dans fichier    30 | Analyseur C : N.ligne     24 | Xml : N.ligne     24 | Différence    0
Année 2011 | Mois 01 | Matricule   0336 | Rang global     31 | Rang dans fichier    31 | Analyseur C : N.ligne     35 | Xml : N.ligne     35 | Différence    0
Année 2011 | Mois 01 | Matricule   0946 | Rang global     32 | Rang dans fichier    32 | Analyseur C : N.ligne     22 | Xml : N.ligne     22 | Différence    0
Année 2011 | Mois 01 | Matricule   0947 | Rang global     33 | Rang dans fichier    33 | Analyseur C : N.ligne     29 | Xml : N.ligne     29 | Différence    0
Année 2011 | Mois 01 | Matricule   1112 | Rang global     34 | Rang dans fichier    34 | Analyseur C : N.ligne     39 | Xml : N.ligne     39 | Différence    0
Année 2011 | Mois 01 | Matricule   0987 | Rang global     35 | Rang dans fichier    35 | Analyseur C : N.ligne     23 | Xml : N.ligne     23 | Différence    0
Année 2011 | Mois 01 | Matricule   0958 | Rang global     36 | Rang dans fichier    36 | Analyseur C : N.ligne     41 | Xml : N.ligne     41 | Différence    0
Année 2011 | Mois 01 | Matricule   1082 | Rang global     37 | Rang dans fichier    37 | Analyseur C : N.ligne     12 | Xml : N.ligne     12 | Différence    0
Année 2011 | Mois 01 | Matricule   0477 | Rang global     38 | Rang dans fichier    38 | Analyseur C : N.ligne     27 | Xml : N.ligne     27 | Différence    0
Année 2011 | Mois 01 | Matricule   0111 | Rang global     39 | Rang dans fichier    39 | Analyseur C : N.ligne     26 | Xml : N.ligne     26 | Différence    0
Année 2011 | Mois 01 | Matricule   1108 | Rang global     40 | Rang dans fichier    40 | Analyseur C : N.ligne     33 | Xml : N.ligne     33 | Différence    0
Année 2011 | Mois 01 | Matricule   1257 | Rang global     41 | Rang dans fichier    41 | Analyseur C : N.ligne     35 | Xml : N.ligne     35 | Différence    0
Année 2011 | Mois 01 | Matricule   1127 | Rang global     42 | Rang dans fichier    42 | Analyseur C : N.ligne     42 | Xml : N.ligne     42 | Différence    0
Année 2011 | Mois 01 | Matricule   0134 | Rang global     43 | Rang dans fichier    43 | Analyseur C : N.ligne     24 | Xml : N.ligne     24 | Différence    0
Année 2011 | Mois 01 | Matricule   1019 | Rang global     44 | Rang dans fichier    44 | Analyseur C : N.ligne     35 | Xml : N.ligne     35 | Différence    0
Année 2011 | Mois 01 | Matricule   0954 | Rang global     45 | Rang dans fichier    45 | Analyseur C : N.ligne     31 | Xml : N.ligne     31 | Différence    0
Année 2011 | Mois 01 | Matricule   0022 | Rang global     46 | Rang dans fichier    46 | Analyseur C : N.ligne     30 | Xml : N.ligne     30 | Différence    0
Année 2011 | Mois 01 | Matricule   0609 | Rang global     47 | Rang dans fichier    47 | Analyseur C : N.ligne     32 | Xml : N.ligne     32 | Différence    0
Année 2011 | Mois 01 | Matricule   0760 | Rang global     48 | Rang dans fichier    48 | Analyseur C : N.ligne     38 | Xml : N.ligne     38 | Différence    0
Année 2011 | Mois 01 | Matricule   0024 | Rang global     49 | Rang dans fichier    49 | Analyseur C : N.ligne     35 | Xml : N.ligne     35 | Différence    0
Année 2011 | Mois 01 | Matricule   1233 | Rang global     50 | Rang dans fichier    50 | Analyseur C : N.ligne     49 | Xml : N.ligne     49 | Différence    0
Année 2011 | Mois 01 | Matricule   0232 | Rang global     51 | Rang dans fichier    51 | Analyseur C : N.ligne     37 | Xml : N.ligne     37 | Différence    0
Année 2011 | Mois 01 | Matricule   0590 | Rang global     52 | Rang dans fichier    52 | Analyseur C : N.ligne     40 | Xml : N.ligne     40 | Différence    0
Année 2011 | Mois 01 | Matricule   1225 | Rang global     53 | Rang dans fichier    53 | Analyseur C : N.ligne     37 | Xml : N.ligne     37 | Différence    0
Année 2011 | Mois 01 | Matricule   1291 | Rang global     54 | Rang dans fichier    54 | Analyseur C : N.ligne     63 | Xml : N.ligne     63 | Différence    0
Année 2011 | Mois 01 | Matricule   1207 | Rang global     55 | Rang dans fichier    55 | Analyseur C : N.ligne     27 | Xml : N.ligne     27 | Différence    0
Année 2011 | Mois 01 | Matricule   0364 | Rang global     56 | Rang dans fichier    56 | Analyseur C : N.ligne     35 | Xml : N.ligne     35 | Différence    0
Année 2011 | Mois 01 | Matricule   1295 | Rang global     57 | Rang dans fichier    57 | Analyseur C : N.ligne     45 | Xml : N.ligne     45 | Différence    0
Année 2011 | Mois 01 | Matricule   0468 | Rang global     58 | Rang dans fichier    58 | Analyseur C : N.ligne     39 | Xml : N.ligne     39 | Différence    0
Année 2011 | Mois 01 | Matricule   0581 | Rang global     59 | Rang dans fichier    59 | Analyseur C : N.ligne     37 | Xml : N.ligne     37 | Différence    0
Année 2011 | Mois 01 | Matricule   1251 | Rang global     60 | Rang dans fichier    60 | Analyseur C : N.ligne     48 | Xml : N.ligne     48 | Différence    0
Année 2011 | Mois 01 | Matricule   0918 | Rang global     61 | Rang dans fichier    61 | Analyseur C : N.ligne     26 | Xml : N.ligne     26 | Différence    0
Année 2011 | Mois 01 | Matricule   1222 | Rang global     62 | Rang dans fichier    62 | Analyseur C : N.ligne     42 | Xml : N.ligne     42 | Différence    0
Année 2011 | Mois 01 | Matricule   0467 | Rang global     63 | Rang dans fichier    63 | Analyseur C : N.ligne     24 | Xml : N.ligne     24 | Différence    0
Année 2011 | Mois 01 | Matricule   0985 | Rang global     64 | Rang dans fichier    64 | Analyseur C : N.ligne     24 | Xml : N.ligne     24 | Différence    0
Année 2011 | Mois 01 | Matricule   0984 | Rang global     65 | Rang dans fichier    65 | Analyseur C : N.ligne     34 | Xml : N.ligne     34 | Différence    0
