Année 2012 | Mois 03 | Matricule   0002 | Rang global      0 | Rang dans fichier     0 | Analyseur C : N.ligne     22 | Xml : N.ligne     22 | Différence    0
Année 2012 | Mois 03 | Matricule   0265 | Rang global      1 | Rang dans fichier     1 | Analyseur C : N.ligne     29 | Xml : N.ligne     29 | Différence    0
Année 2012 | Mois 03 | Matricule   0001 | Rang global      2 | Rang dans fichier     2 | Analyseur C : N.ligne     29 | Xml : N.ligne     29 | Différence    0
Année 2012 | Mois 03 | Matricule   6082 | Rang global      3 | Rang dans fichier     3 | Analyseur C : N.ligne     29 | Xml : N.ligne     29 | Différence    0
Année 2012 | Mois 03 | Matricule   7018 | Rang global      4 | Rang dans fichier     4 | Analyseur C : N.ligne     28 | Xml : N.ligne     28 | Différence    0
Année 2012 | Mois 03 | Matricule   3039 | Rang global      5 | Rang dans fichier     5 | Analyseur C : N.ligne     32 | Xml : N.ligne     32 | Différence    0
Année 2012 | Mois 03 | Matricule   9625 | Rang global      6 | Rang dans fichier     6 | Analyseur C : N.ligne      9 | Xml : N.ligne      9 | Différence    0
Année 2012 | Mois 03 | Matricule   0098 | Rang global      7 | Rang dans fichier     7 | Analyseur C : N.ligne     28 | Xml : N.ligne     28 | Différence    0
Année 2012 | Mois 03 | Matricule   0479 | Rang global      8 | Rang dans fichier     8 | Analyseur C : N.ligne     26 | Xml : N.ligne     26 | Différence    0
Année 2012 | Mois 03 | Matricule   9002 | Rang global      9 | Rang dans fichier     9 | Analyseur C : N.ligne     15 | Xml : N.ligne     15 | Différence    0
Année 2012 | Mois 03 | Matricule   0404 | Rang global     10 | Rang dans fichier    10 | Analyseur C : N.ligne     30 | Xml : N.ligne     30 | Différence    0
Année 2012 | Mois 03 | Matricule   0525 | Rang global     11 | Rang dans fichier    11 | Analyseur C : N.ligne     28 | Xml : N.ligne     28 | Différence    0
Année 2012 | Mois 03 | Matricule   7021 | Rang global     12 | Rang dans fichier    12 | Analyseur C : N.ligne     21 | Xml : N.ligne     21 | Différence    0
Année 2012 | Mois 03 | Matricule   0333 | Rang global     13 | Rang dans fichier    13 | Analyseur C : N.ligne     21 | Xml : N.ligne     21 | Différence    0
Année 2012 | Mois 03 | Matricule   9035 | Rang global     14 | Rang dans fichier    14 | Analyseur C : N.ligne     10 | Xml : N.ligne     10 | Différence    0
Année 2012 | Mois 03 | Matricule   9015 | Rang global     15 | Rang dans fichier    15 | Analyseur C : N.ligne     13 | Xml : N.ligne     13 | Différence    0
Année 2012 | Mois 03 | Matricule   5032 | Rang global     16 | Rang dans fichier    16 | Analyseur C : N.ligne     23 | Xml : N.ligne     23 | Différence    0
Année 2012 | Mois 03 | Matricule   0574 | Rang global     17 | Rang dans fichier    17 | Analyseur C : N.ligne     25 | Xml : N.ligne     25 | Différence    0
Année 2012 | Mois 03 | Matricule   3040 | Rang global     18 | Rang dans fichier    18 | Analyseur C : N.ligne     25 | Xml : N.ligne     25 | Différence    0
Année 2012 | Mois 03 | Matricule   0308 | Rang global     19 | Rang dans fichier    19 | Analyseur C : N.ligne     28 | Xml : N.ligne     28 | Différence    0
Année 2012 | Mois 03 | Matricule   0018 | Rang global     20 | Rang dans fichier    20 | Analyseur C : N.ligne     25 | Xml : N.ligne     25 | Différence    0
Année 2012 | Mois 03 | Matricule   3128 | Rang global     21 | Rang dans fichier    21 | Analyseur C : N.ligne     29 | Xml : N.ligne     29 | Différence    0
Année 2012 | Mois 03 | Matricule   0309 | Rang global     22 | Rang dans fichier    22 | Analyseur C : N.ligne     26 | Xml : N.ligne     26 | Différence    0
Année 2012 | Mois 03 | Matricule   0369 | Rang global     23 | Rang dans fichier    23 | Analyseur C : N.ligne     28 | Xml : N.ligne     28 | Différence    0
Année 2012 | Mois 03 | Matricule   0023 | Rang global     24 | Rang dans fichier    24 | Analyseur C : N.ligne     26 | Xml : N.ligne     26 | Différence    0
Année 2012 | Mois 03 | Matricule   7011 | Rang global     25 | Rang dans fichier    25 | Analyseur C : N.ligne     22 | Xml : N.ligne     22 | Différence    0
Année 2012 | Mois 03 | Matricule   0376 | Rang global     26 | Rang dans fichier    26 | Analyseur C : N.ligne     35 | Xml : N.ligne     35 | Différence    0
Année 2012 | Mois 03 | Matricule   0542 | Rang global     27 | Rang dans fichier    27 | Analyseur C : N.ligne     24 | Xml : N.ligne     24 | Différence    0
Année 2012 | Mois 03 | Matricule   4187 | Rang global     28 | Rang dans fichier    28 | Analyseur C : N.ligne     26 | Xml : N.ligne     26 | Différence    0
Année 2012 | Mois 03 | Matricule   4396 | Rang global     29 | Rang dans fichier    29 | Analyseur C : N.ligne     24 | Xml : N.ligne     24 | Différence    0
Année 2012 | Mois 03 | Matricule   7012 | Rang global     30 | Rang dans fichier    30 | Analyseur C : N.ligne     22 | Xml : N.ligne     22 | Différence    0
Année 2012 | Mois 03 | Matricule   9026 | Rang global     31 | Rang dans fichier    31 | Analyseur C : N.ligne     12 | Xml : N.ligne     12 | Différence    0
Année 2012 | Mois 03 | Matricule   3904 | Rang global     32 | Rang dans fichier    32 | Analyseur C : N.ligne     24 | Xml : N.ligne     24 | Différence    0
Année 2012 | Mois 03 | Matricule   4404 | Rang global     33 | Rang dans fichier    33 | Analyseur C : N.ligne     27 | Xml : N.ligne     27 | Différence    0
Année 2012 | Mois 03 | Matricule   4477 | Rang global     34 | Rang dans fichier    34 | Analyseur C : N.ligne     25 | Xml : N.ligne     25 | Différence    0
Année 2012 | Mois 03 | Matricule   0034 | Rang global     35 | Rang dans fichier    35 | Analyseur C : N.ligne     33 | Xml : N.ligne     33 | Différence    0
Année 2012 | Mois 03 | Matricule   0037 | Rang global     36 | Rang dans fichier    36 | Analyseur C : N.ligne     27 | Xml : N.ligne     27 | Différence    0
Année 2012 | Mois 03 | Matricule   4246 | Rang global     37 | Rang dans fichier    37 | Analyseur C : N.ligne     28 | Xml : N.ligne     28 | Différence    0
Année 2012 | Mois 03 | Matricule   0039 | Rang global     38 | Rang dans fichier    38 | Analyseur C : N.ligne     27 | Xml : N.ligne     27 | Différence    0
Année 2012 | Mois 03 | Matricule   0041 | Rang global     39 | Rang dans fichier    39 | Analyseur C : N.ligne     29 | Xml : N.ligne     29 | Différence    0
Année 2012 | Mois 03 | Matricule   4156 | Rang global     40 | Rang dans fichier    40 | Analyseur C : N.ligne     28 | Xml : N.ligne     28 | Différence    0
Année 2012 | Mois 03 | Matricule   0240 | Rang global     41 | Rang dans fichier    41 | Analyseur C : N.ligne     17 | Xml : N.ligne     17 | Différence    0
Année 2012 | Mois 03 | Matricule   0047 | Rang global     42 | Rang dans fichier    42 | Analyseur C : N.ligne     32 | Xml : N.ligne     32 | Différence    0
Année 2012 | Mois 03 | Matricule   0048 | Rang global     43 | Rang dans fichier    43 | Analyseur C : N.ligne     32 | Xml : N.ligne     32 | Différence    0
Année 2012 | Mois 03 | Matricule   0049 | Rang global     44 | Rang dans fichier    44 | Analyseur C : N.ligne     36 | Xml : N.ligne     36 | Différence    0
Année 2012 | Mois 03 | Matricule   0051 | Rang global     45 | Rang dans fichier    45 | Analyseur C : N.ligne     27 | Xml : N.ligne     27 | Différence    0
Année 2012 | Mois 03 | Matricule   7013 | Rang global     46 | Rang dans fichier    46 | Analyseur C : N.ligne     22 | Xml : N.ligne     22 | Différence    0
Année 2012 | Mois 03 | Matricule   0052 | Rang global     47 | Rang dans fichier    47 | Analyseur C : N.ligne     24 | Xml : N.ligne     24 | Différence    0
Année 2012 | Mois 03 | Matricule   0384 | Rang global     48 | Rang dans fichier    48 | Analyseur C : N.ligne     22 | Xml : N.ligne     22 | Différence    0
Année 2012 | Mois 03 | Matricule   0054 | Rang global     49 | Rang dans fichier    49 | Analyseur C : N.ligne     29 | Xml : N.ligne     29 | Différence    0
Année 2012 | Mois 03 | Matricule   0055 | Rang global     50 | Rang dans fichier    50 | Analyseur C : N.ligne     25 | Xml : N.ligne     25 | Différence    0
Année 2012 | Mois 03 | Matricule   4410 | Rang global     51 | Rang dans fichier    51 | Analyseur C : N.ligne     25 | Xml : N.ligne     25 | Différence    0
Année 2012 | Mois 03 | Matricule   0268 | Rang global     52 | Rang dans fichier    52 | Analyseur C : N.ligne     27 | Xml : N.ligne     27 | Différence    0
Année 2012 | Mois 03 | Matricule   3173 | Rang global     53 | Rang dans fichier    53 | Analyseur C : N.ligne     24 | Xml : N.ligne     24 | Différence    0
Année 2012 | Mois 03 | Matricule   3002 | Rang global     54 | Rang dans fichier    54 | Analyseur C : N.ligne     27 | Xml : N.ligne     27 | Différence    0
Année 2012 | Mois 03 | Matricule   0578 | Rang global     55 | Rang dans fichier    55 | Analyseur C : N.ligne     35 | Xml : N.ligne     35 | Différence    0
Année 2012 | Mois 03 | Matricule   6006 | Rang global     56 | Rang dans fichier    56 | Analyseur C : N.ligne     28 | Xml : N.ligne     28 | Différence    0
Année 2012 | Mois 03 | Matricule   7005 | Rang global     57 | Rang dans fichier    57 | Analyseur C : N.ligne     32 | Xml : N.ligne     32 | Différence    0
Année 2012 | Mois 03 | Matricule   0270 | Rang global     58 | Rang dans fichier    58 | Analyseur C : N.ligne     23 | Xml : N.ligne     23 | Différence    0
