Grade;Catégorie;Correction ;;
A.S AIDE MÉDIC. PSYCH. CN;NA;C;;
A.S AIDE MÉDIC. PSYCH. CS;NA;C;;
A.S.E  ASS.SERV.SOC;NA;B;;
A.S.E EDUC SPÉC.;NA;B;;
A.S.E PPAL  ASS. SERV SOC;NA;B;;
A.S.E PPAL EDUC SPÉ.;NA;B;;
ADJOINT ADM HOSP 1CL;C;C;;source : Grille indiciaire FPH 2016
ADJOINT ADM HOSP 2CL;C;C;;? : non référencée dans la grille
ADJOINT ADM HOSP PPAL 1CL;C;C;;
ADJOINT ADM HOSP PPAL 2CL;C;C;;
ADJOINT DES CADRES CL.EXC;NA;B;;
ADJOINT DES CADRES CL.NOR;NA;B;;
AGENT DE MAÎTRISE PPAL;C;C;;
AGENT ENTRETIEN QUALIFIÉ;NA;C;;
AGENT FAM EDUCATEUR;NA;?;;
AGENT FAM MONITEUR;NA;?;;
AGENT FAM VEILLEUR NUIT;NA;?;;
AGT SERV HOSP QUAL;NA;C;;
AGT SERV HOSP QUAL CL.NOR;NA;C;;
AGT SVC HOSP QUAL CL.SUP;NA;C;;
AIDE-SOIGNANT CE;NA;C;;
AIDE-SOIGNANT CN;NA;C;;
AIDE-SOIGNANT CS;NA;C;;
ASSIST. MÉDIC-ADM CL.EXC;NA;B;;
ASSIST. MÉDIC-ADM CL.NOR;NA;B;;
ASSIST. MÉDIC-ADM CL.SUP;NA;B;;
ASSISTANT FAMILIAL;NA;B;;
ASSISTANTE MATERNELLE;NA;B;;
AST SOC-ÉDUC EDUC SPÉC;NA;B;;
ATTACHÉ ADM.HOSP;A;A;;
ATTACHÉ TPA;A;A;;
ATTACHÉ TPL;A;A;;
AUMONIER;NA;C;;
BUANDIER;NA;?;;
BUANDIER MAÎTRE OUVRIER;NA;?;;
BUANDIER OUVRIER QUALIFIÉ;NA;?;;
CADRE SOCIO-ÉDUCATIF;NA;A;;
CHEF DE SERVICE EDUCATIF;NA;A;;
DIR. DES SOINS HCL;NA;A;;
DIR.ETB.S.SOC MSO. H.CL.;NA;A;;
DIR.ETB.SSOC MSO. CL.NOR;NA;A;;
DIRECTEUR CLASSE NORMALE;A;A;;
DIRECTEUR HORS CLASSE;A;A;;
DIÉTÉTICIEN CL.NOR;NA;B;;
EDUC TECH.SPÉCIALISÉ CN;B;B;;
INF. CL.NOR (CE);NA;A;;
INF. CL.SUP (CE);NA;A;;
INF. S.G(D.E) GRD 1 ISGS;NA;A;;
INF. S.G(D.E) GRD 2 ISGS;NA;A;;
INF.CAD.SANTÉ.PARA.;NA;A;;
INF.CSUP SANTÉ PARA.;NA;A;;
INFIRMIER CADSUP.SANTÉ;A;A;;
INGÉNIEUR HOSPITALIER;A;A;;
MAITRE OUVRIER BUANDIER;NA;C;;
MAÎTRE OUVRIER;NA;C;;
MAÎTRE OUVRIER BUANDIER;NA;C;;
MAÎTRE OUVRIER PRINCIPAL;NA;C;;
MONITEUR D'ATELIER;B;C;;
MONITEUR EDUCATEUR;B;B;;
MÉDECIN DU TRAVAIL;A;A;;
OUVRIER PROF QUALIFIÉ;NA;C;;
PERSONNEL NON MÉDIC. DIV.;NA;?;;
PRAT.CONTR. TPL;NA;A;;
PRAT.HOSP TPA NCS;NA;A;;
PRAT.HOSP TPL NCS;NA;A;;
PRAT.HOSP TPL PROBATOIRE;NA;A;;
PRÉP.PHAR.HOSP. CL.NOR;NA;B;;
PRÉP.PHAR.HOSP. CL.SUP;NA;B;;
PSYCHOLOGUE CL.NOR;A;A;;
PSYCHOLOGUE HORS CLASSE;A;A;;
PSYCHOMOTRICIEN CL.NOR;A;A;;
RECEVEUR;C;?;;
RÉS.MÉD.GÉN.SEMESTR.SUPPL;NA;A;;
RÉSIDENT MÉDECINE GÉN.;NA;A;;
TECH. HOSP.;B;B;;
TECH. SUP. HOSP. 1 CL;B;B;;
TECH. SUP. HOSP. 2 CL;B;B;;
