   D1            ; 17 496   ; 18 012 ; 17 928  ; 18 460 ;18 572
   D2            ; 20 916   ; 21 348 ; 21 588  ; 22 106 ;22 247
   D3            ; 23 052   ; 23 376 ; 23 844  ; 24 425 ;24 634
   D4            ; 24 912   ; 25 248 ; 25 764  ; 26 487 ;26 806
   D5 (médiane)  ; 26 832   ; 27 120 ; 27 720  ; 28 537 ;28 872
   D6            ; 28 944   ; 29 220 ; 29 760  ; 30 671 ;31 140
   D7            ; 31 632   ; 31 968 ; 32 604  ; 33 602 ;34 143
   D8            ; 35 592   ; 35 964 ; 36 588  ; 37 661 ;38 099
   D9            ; 42 456   ; 42 780 ; 43 332  ; 44 453 ;44 925
  Moyenne        ; 29 208   ; 29 628 ; 30 060  ; 30 873 ;31 189
