   D1            ; 16 584   ; 17 016 ;  17 460 ; 17 688; 17 683 ; 17 967
   D2            ; 18 168   ; 18 492 ;  18 852 ; 19 104; 19 131 ; 19 510
   D3            ; 19 620   ; 19 872 ;  20 160 ; 20 460; 20 516 ; 21 035
   D4            ; 21 048   ; 21 192 ;  21 456 ; 21 816; 21 917 ; 22 503
   D5 (médiane)  ; 22 596   ; 22 656 ;  22 848 ; 23 220; 23 358 ; 23 992
   D6            ; 24 504   ; 24 516 ;  24 540 ; 24 888; 25 041 ; 25 778
   D7            ; 27 216   ; 27 252 ;  27 108 ; 27 408; 27 594 ; 28 554
   D8            ; 30 996   ; 31 176 ;  31 092 ; 31 404; 31 564 ; 32 387
   D9            ; 37 812   ; 38 100 ;  38 064 ; 38 388; 38 907 ; 40 431
 Moyenne         ; 26 496   ; 26 916 ;  27 096 ; 27 456; 27 694 ; 28 569

