     D1            ; 15 288   ; 15 600  ; 15 768   ;  15 912 ; 16 272  ; 16 435 ; 16 648 
     D2            ; 16 512   ; 16 860  ; 17 124   ;  17 340 ; 17 688  ; 17 836 ; 18 067 
     D3            ; 17 508   ; 17 844  ; 18 156   ;  18 432 ; 18 828  ; 18 985 ; 19 256 
     D4            ; 18 480   ; 18 816  ; 19 164   ;  19 476 ; 19 908  ; 20 104 ; 20 424 
     D5 (médiane)  ; 19 632   ; 19 908  ; 20 256   ;  20 616 ; 21 096  ; 21 320 ; 21 689 
     D6            ; 21 012   ; 21 300  ; 21 648   ;  22 020 ; 22 548  ; 22 781 ; 23 167 
     D7            ; 22 860   ; 23 160  ; 23 496   ;  23 868 ; 24 444  ; 24 666 ; 25 096 
     D8            ; 25 596   ; 25 956  ; 26 292   ;  26 700 ; 27 336  ; 27 571 ; 28 068 
     D9            ; 30 876   ; 31 272  ; 31 596   ;  31 968 ; 32 652  ; 32 939 ; 33 418 
     Moyenne       ; 21 876   ; 22 212  ; 22 524   ;  22 824 ; 23 328  ; 23 553 ; 23 917 
