    D1            ; 15 972   ;  16 296; 16 632 ; 16 920 ; 17 256 ; 17 458
    D2            ; 16 896   ;        ;        ;        ;        ;
    D3            ; 17 652   ;        ;        ;        ;        ; 
    D4            ; 18 360   ;        ;        ;        ;        ; 
    D5 (médiane)  ; 19 164   ;  19 464; 19 884 ; 20 256 ; 20 868 ; 21 199
    D6            ; 20 100   ;        ;        ;        ;        ;
    D7            ; 21 216   ;        ;        ;        ;        ;
    D8            ; 22 680   ;        ;        ;        ;        ; 
    D9            ; 24 996   ;  25 176; 25 608 ; 26 028 ; 26 844 ; 27 337
    Moyenne       ; 20 016   ;  20 268; 20 676 ; 21 024 ; 21 612 ; 21 935
