age;Hommes;Femmes;annee.reference;versant
15;0;0;2010;NONTIT_FPH
16;0;0;NA;
17;0;0;NA;
18;0;0;NA;
19;800;3400;2010;NONTIT_FPH
20;1000;4200;NA;
21;1400;6300;NA;
22;1700;8300;NA;
23;2000;9500;NA;
24;2700;11000;NA;
25;3200;11400;NA;
26;3200;10100;NA;
27;3000;8500;NA;
28;3100;7800;NA;
29;2800;6700;NA;
30;2800;6200;NA;
31;2600;5500;NA;
32;2400;5100;NA;
33;2400;4900;NA;
34;2100;4700;NA;
35;2100;4600;NA;
36;2000;4700;NA;
37;2000;4600;NA;
38;1900;4700;NA;
39;2100;4500;NA;
40;2000;4300;NA;
41;1900;4200;NA;
42;1900;4200;NA;
43;1800;3800;NA;
44;1900;4000;NA;
45;2000;3900;NA;
46;2000;4000;NA;
47;2200;3700;NA;
48;2100;3500;NA;
49;2100;3400;NA;
50;2100;3400;NA;
51;2000;3400;NA;
52;2100;3200;NA;
53;2200;3200;NA;
54;2100;3000;NA;
55;2100;3200;NA;
56;2100;3000;NA;
57;2000;2800;NA;
58;2000;2600;NA;
59;1800;2200;NA;
60;1700;1600;NA;
61;1700;1300;NA;
62;1500;1000;NA;
63;1300;800;NA;
64;1000;600;NA;
65;1600;800;NA;
66;0;0;NA;
67;0;0;NA;
68;0;0;NA;
