age;Hommes;Femmes;année.référence;versant
15;0;0;2010;NONTIT_FPT
16;0;0;NA;
17;0;0;NA;
18;0;0;NA;
19;6674,33987813135;1078,09042048688;2010;NONTIT_FPT
20;5163,16858496953;1025,92475497945;NA;
21;6170,61611374407;1304,14163768574;NA;
22;6296,54705484089;1460,63863420803;NA;
23;6170,61611374407;1547,58141005375;NA;
24;6170,61611374407;1599,74707556118;NA;
25;5918,75423155044;1547,58141005375;NA;
26;5415,03046716317;1425,86152386974;NA;
27;4911,3067027759;1304,14163768574;NA;
28;5163,16858496953;1269,36452734745;NA;
29;4911,3067027759;1217,19886184003;NA;
30;4659,44482058226;1182,42175150174;NA;
31;4659,44482058226;1095,47897565602;NA;
32;4155,72105619499;1060,70186531774;NA;
33;4281,65199729181;1095,47897565602;NA;
34;4029,79011509817;1078,09042048688;NA;
35;3903,85917400135;1095,47897565602;NA;
36;4407,58293838862;1199,81030667088;NA;
37;4407,58293838862;1286,7530825166;NA;
38;4281,65199729181;1356,30730319317;NA;
39;4029,79011509817;1338,91874802403;NA;
40;4155,72105619499;1338,91874802403;NA;
41;4029,79011509817;1338,91874802403;NA;
42;3777,92823290454;1338,91874802403;NA;
43;3777,92823290454;1391,08441353146;NA;
44;3903,85917400135;1443,25007903889;NA;
45;3777,92823290454;1425,86152386974;NA;
46;3903,85917400135;1478,02718937717;NA;
47;3903,85917400135;1443,25007903889;NA;
48;3651,99729180772;1373,69585836231;NA;
49;3526,0663507109;1391,08441353146;NA;
50;3400,13540961408;1356,30730319317;NA;
51;3526,0663507109;1356,30730319317;NA;
52;3526,0663507109;1304,14163768574;NA;
53;3526,0663507109;1269,36452734745;NA;
54;3526,0663507109;1269,36452734745;NA;
55;3526,0663507109;1199,81030667088;NA;
56;3526,0663507109;1147,64464116345;NA;
57;3400,13540961408;1078,09042048688;NA;
58;3022,34258632363;1025,92475497945;NA;
59;2644,54976303318;921,593423964591;NA;
60;2014,89505754909;712,930761934872;NA;
61;1511,17129316181;504,268099905153;NA;
62;1259,30941096818;417,325324059437;NA;
63;1133,37846987136;330,382548213721;NA;
64;881,516587677725;260,828327537148;NA;
65;1385,240352065;312,993993044578;NA;
66;0;0;NA;
67;0;0;NA;
68;0;0;NA;
