age;Hommes;Femmes;annee.reference;versant
15;0;0;2010;TIT_FPH
16;0;0;NA;
17;0;0;NA;
18;0;0;NA;
19;0;0;2010;TIT_FPH
20;0;200;NA;
21;200;900;NA;
22;400;3000;NA;
23;900;6100;NA;
24;1300;9100;NA;
25;1700;11700;NA;
26;1900;13400;NA;
27;2300;14600;NA;
28;2800;16800;NA;
29;3000;17500;NA;
30;3200;17800;NA;
31;3100;16900;NA;
32;3200;16200;NA;
33;3400;15900;NA;
34;3400;15400;NA;
35;3700;16200;NA;
36;4200;17200;NA;
37;4500;19000;NA;
38;4800;20300;NA;
39;4800;20800;NA;
40;4700;20200;NA;
41;4800;20300;NA;
42;4800;20100;NA;
43;4800;20000;NA;
44;5100;20800;NA;
45;5200;20700;NA;
46;5200;21300;NA;
47;5500;21600;NA;
48;5300;21400;NA;
49;5800;22300;NA;
50;5700;22700;NA;
51;6000;23000;NA;
52;6200;23000;NA;
53;6200;23700;NA;
54;6200;22600;NA;
55;5700;18400;NA;
56;5300;14600;NA;
57;4600;11700;NA;
58;3400;9400;NA;
59;2900;7600;NA;
60;1400;3900;NA;
61;800;1900;NA;
62;500;1100;NA;
63;300;600;NA;
64;200;400;NA;
65;100;200;NA;
66;0;0;NA;
67;0;0;NA;
68;0;0;NA;
