age;Hommes;Femmes;annee.reference;versant
15;0;0;2010;TIT_FPT
16;0;0;NA;
17;0;0;NA;
18;0;0;2010;TIT_FPT
19;78,9825970548862;29,2167935182912;2010;TIT_FPT
20;315,930388219545;87,6503805548736;NA;
21;868,808567603749;233,73434814633;NA;
22;1500,66934404284;409,035109256077;NA;
23;2132,53012048193;759,636631475571;NA;
24;3001,33868808568;1168,67174073165;NA;
25;3712,18206157965;1548,49005646943;NA;
26;4502,00803212851;2045,17554628038;NA;
27;5212,85140562249;2424,99386201817;NA;
28;6555,55555555556;3126,19690645716;NA;
29;7582,32931726908;3564,44880923152;NA;
30;8135,20749665328;3973,4839184876;NA;
31;8530,12048192771;4148,78467959735;NA;
32;9082,99866131191;4294,8686471888;NA;
33;9793,84203480589;4645,4701694083;NA;
34;10109,7724230254;4820,77093051805;NA;
35;11215,5287817938;5171,37245273754;NA;
36;12953,1459170013;5931,00908421311;NA;
37;14374,8326639893;6632,2121286521;NA;
38;14848,7282463186;7099,68082494476;NA;
39;14927,7108433735;7421,06555364596;NA;
40;14769,7456492637;7450,28234716425;NA;
41;14848,7282463186;7654,79990179229;NA;
42;14927,7108433735;7800,88386938375;NA;
43;15164,6586345382;8151,48539160324;NA;
44;16112,4497991968;8706,60446845077;NA;
45;16744,3105756359;8998,77240363369;NA;
46;17534,1365461847;9407,80751288976;NA;
47;17297,1887550201;9261,7235452983;NA;
48;16902,2757697457;8911,12202307881;NA;
49;17534,1365461847;8998,77240363369;NA;
50;17534,1365461847;8706,60446845077;NA;
51;17297,1887550201;8765,03805548736;NA;
52;17139,2235609103;8385,21973974957;NA;
53;16586,3453815261;8093,05180456666;NA;
54;16191,4323962517;7684,01669531058;NA;
55;14927,7108433735;7304,1983795728;NA;
56;14295,8500669344;7041,24723790818;NA;
57;13269,0763052209;6602,99533513381;NA;
58;11215,5287817938;6252,39381291431;NA;
59;9319,94645247657;5638,8411490302;NA;
60;5212,85140562249;3301,4976675669;NA;
61;3080,32128514056;2015,95875276209;NA;
62;1974,56492637216;1343,97250184139;NA;
63;1342,70414993307;993,3709796219;NA;
64;947,791164658635;701,203044438989;NA;
65;394,912985274431;292,167935182912;NA;
66;0;0;NA;
67;0;0;NA;
68;0;0;NA;
