age;Hommes;Femmes;annee.reference;versant
15;32;16;2011;FPT
16;185;94;;
17;578;403;;
18;1316;1535;;
19;2270;3311;;
20;3337;5248;;
21;4253;6933;;
22;5371;8696;;
23;6422;10320;;
24;7413;11960;;
25;8483;13357;;
26;9214;14398;;
27;9991;15438;;
28;10615;16043;;
29;12290;18120;;
30;13497;19407;;
31;13953;20635;;
32;14332;20643;;
33;14716;21057;;
34;15783;22434;;
35;15920;22853;;
36;17303;24349;;
37;19634;27623;;
38;21538;30546;;
39;22072;32253;;
40;22065;33295;;
41;21803;33314;;
42;21674;33949;;
43;21728;34352;;
44;22032;35692;;
45;23226;37853;;
46;23905;38915;;
47;25026;40345;;
48;24550;39786;;
49;23957;37915;;
50;24648;38046;;
51;24428;36786;;
52;24090;36786;;
53;23773;35030;;
54;23107;33840;;
55;22156;32385;;
56;20451;30753;;
57;19624;29628;;
58;18032;27628;;
59;14825;25735;;
60;9501;18051;;
61;5550;10425;;
62;3892;7759;;
63;2805;5571;;
64;2150;4406;;
65;816;1726;;
66;303;664;;
67;171;340;;
68;129;177;;
