age;Hommes;Femmes;année.référence;versant
14;2;4;2012;FPT
15;1;1;;
16;6;3;;
17;12;30;;
18;184;580;;
19;426;1754;;
20;757;3287;;
21;1253;6368;;
22;1913;10810;;
23;2881;15605;;
24;4249;20454;;
25;5675;23852;;
26;5985;25082;;
27;5885;24737;;
28;5498;23432;;
29;5382;22626;;
30;5853;24397;;
31;5962;24223;;
32;5967;23952;;
33;5679;22515;;
34;5629;21436;;
35;5777;20907;;
36;5497;20346;;
37;5743;20985;;
38;6334;22176;;
39;6619;23924;;
40;6704;25192;;
41;6861;25332;;
42;6653;24556;;
43;6704;24449;;
44;6660;24229;;
45;6619;23775;;
46;7031;24594;;
47;7103;24181;;
48;7187;24706;;
49;7563;24682;;
50;7347;24069;;
51;7798;24879;;
52;7735;25206;;
53;7879;25365;;
54;8173;24950;;
55;8167;24814;;
56;7538;19306;;
57;6964;16718;;
58;6608;13986;;
59;5671;11657;;
60;4053;8425;;
61;2707;4159;;
62;2087;2609;;
63;1945;1885;;
64;1541;1278;;
65;945;656;;
66;533;326;;
67;309;171;;
68;238;101;;
