age;Hommes;Femmes;année.référence;versant
15;0;0;2013;fph
16;2;4;;
17;12;15;;
18;182;501;;
19;459;1677;;
20;786;2978;;
21;1239;6047;;
22;1886;10370;;
23;2732;15013;;
24;4360;20093;;
25;5789;24275;;
26;6499;25457;;
27;6385;25750;;
28;6010;24574;;
29;5576;23479;;
30;5533;22703;;
31;6011;24570;;
32;6039;24349;;
33;6047;24098;;
34;5757;22630;;
35;5697;21619;;
36;5873;21171;;
37;5534;20584;;
38;5828;21257;;
39;6384;22521;;
40;6722;24182;;
41;6820;25419;;
42;6921;25574;;
43;6723;24818;;
44;6726;24693;;
45;6715;24480;;
46;6643;23877;;
47;7062;24775;;
48;7130;24279;;
49;7197;24854;;
50;7589;24782;;
51;7315;24078;;
52;7800;24841;;
53;7750;25080;;
54;7872;25197;;
55;8127;24596;;
56;7707;21704;;
57;7202;17878;;
58;6663;15567;;
59;6236;13066;;
60;4511;9288;;
61;3015;5387;;
62;2320;3082;;
63;1834;2034;;
64;1761;1517;;
65;1025;744;;
66;742;457;;
67;446;236;;
68;244;120;;
