"age";"Hommes";"Femmes";"annee.reference";"versant"
15;34;31;2017;"fpt"
16;228;146;;
17;523;341;;
18;1323;1430;;
19;2331;3488;;
20;3210;5040;;
21;4048;6641;;
22;4908;7779;;
23;5500;9108;;
24;6677;10173;;
25;7559;11924;;
26;8747;13396;;
27;9535;14593;;
28;10447;16079;;
29;11207;17000;;
30;11635;17846;;
31;12021;18833;;
32;12765;19801;;
33;12982;20259;;
34;13530;20946;;
35;15162;23358;;
36;16134;24543;;
37;16606;25917;;
38;16557;25822;;
39;16931;26149;;
40;18135;27377;;
41;18246;27888;;
42;19806;29575;;
43;22095;33015;;
44;24113;35982;;
45;24594;37525;;
46;24506;38239;;
47;24160;37894;;
48;23590;38155;;
49;23601;38202;;
50;23786;39076;;
51;24714;40690;;
52;25275;41391;;
53;26011;42385;;
54;25725;41171;;
55;24616;38739;;
56;24930;38417;;
57;24232;36760;;
58;23231;36074;;
59;21895;33812;;
60;15517;29119;;
61;11571;24991;;
62;7337;14862;;
63;4974;9449;;
64;3624;7054;;
65;2111;4554;;
66;777;1540;;
67;428;834;;
68;273;477;;
