age;Hommes;Femmes;annee.reference;versant
15;1;0;2018;fph
16;3;4;;
17;16;11;;
18;753;202;;
19;2095;496;;
20;3455;754;;
21;6165;1228;;
22;10390;1839;;
23;13705;2583;;
24;17308;4208;;
25;20341;5616;;
26;22418;6829;;
27;23609;6841;;
28;23764;6703;;
29;24345;6862;;
30;24696;6536;;
31;24675;6339;;
32;24923;6224;;
33;24494;5964;;
34;23776;5597;;
35;23410;5711;;
36;25135;6079;;
37;25110;6168;;
38;24900;6150;;
39;23543;5888;;
40;22399;5836;;
41;22021;5929;;
42;21588;5666;;
43;22161;6090;;
44;23572;6517;;
45;25155;6893;;
46;26252;6898;;
47;26382;6991;;
48;25467;6769;;
49;25089;6746;;
50;24817;6778;;
51;24129;6646;;
52;24821;7031;;
53;24260;7060;;
54;24612;7104;;
55;24344;7383;;
56;23570;7124;;
57;21478;7167;;
58;18994;6728;;
59;16923;6435;;
60;13319;5246;;
61;9739;4068;;
62;5525;2991;;
63;3603;2315;;
64;2235;1801;;
65;1457;1425;;
66;669;857;;
67;373;603;;
68;240;478;;
