age;Hommes;Femmes
15;0;0
16;0;0
17;0;0
18;0;0
19;0,8;3,4
20;1;4,4
21;1,6;7,2
22;2,1;11,3
23;2,9;15,6
24;4;20,1
25;4,9;23,1
26;5,1;23,5
27;5,3;23,1
28;5,9;24,6
29;5,8;24,2
30;6;24
31;5,7;22,4
32;5,6;21,3
33;5,8;20,8
34;5,5;20,1
35;5,8;20,8
36;6,2;21,9
37;6,5;23,6
38;6,7;25
39;6,9;25,3
40;6,7;24,5
41;6,7;24,5
42;6,7;24,3
43;6,6;23,8
44;7;24,8
45;7,2;24,6
46;7,2;25,3
47;7,7;25,3
48;7,4;24,9
49;7,9;25,7
50;7,8;26,1
51;8;26,4
52;8,3;26,2
53;8,4;26,9
54;8,3;25,6
55;7,8;21,6
56;7,4;17,6
57;6,6;14,5
58;5,4;12
59;4,7;9,8
60;3,1;5,5
61;2,5;3,2
62;2;2,1
63;1,6;1,4
64;1,2;1
65;1,7;1
66;0;0
67;0;0
68;0;0
