Effectifs;2009;2010;2011;2012;2013
Matricules gérés en base (a);709,0;769,0;698,0;714,0;703,0
"&nbsp;&nbsp;&nbsp;dont présents 12 mois";465,0;462,0;444,0;428,0;433,0
"&nbsp;&nbsp;&nbsp;dont fonctionnaires (b)";438,0;431,0;425,0;428,0;417,0
"&nbsp;&nbsp;&nbsp;dont fonct. présents 12 mois";400,0;403,0;402,0;384,0;391,0
"&nbsp;&nbsp;&nbsp;dont non titulaires";220,0;283,0;242,0;235,0;250,0
"&nbsp;&nbsp;&nbsp;dont élus";14,0;14,0;14,0;25,0;14,0
"&nbsp;&nbsp;&nbsp;dont élus présents 12 mois";13,0;14,0;13,0;14,0;14,0
"&nbsp;&nbsp;&nbsp;dont vacataires détectés (c)";39,0;48,0;47,0;44,0;46,0
"&nbsp;&nbsp;&nbsp;dont assistantes maternelles détectées (c)";16,0;15,0;4,0;0,0;0,0
Postes non actifs (g);89,0;131,0;64,0;78,0;65,0
Postes actifs annexes (g);130,0;146,0;144,0;138,0;147,0
Postes actifs non annexes (g);476,0;478,0;476,0;473,0;477,0
Total ETP au 31/12 (d);458,3;463,2;454,2;430,6;442,5
Total ETPT/année (e);444,0;457,5;449,5;438,1;441,1
Total ETPT/année personnes en place (f)(g);0,0;353,2;357,6;326,7;332,4
Total ETPT/année fonctionnaires (g);384,9;387,5;382,4;372,8;367,9
Total ETPT/année titulaires à temps complet (g);230,9;231,8;233,2;221,8;226,1
Total ETPT non titulaires (g);55,9;65,6;62,3;58,8;63,1
Total ETPT autre statut;2,8;4,2;4,7;6,3;5,6
Total ETPT postes non actifs (g);0,0;0,0;0,0;0,0;0,0
Total ETPT postes actifs annexes (g);19,2;26,3;24,6;24,0;23,2
Total ETPT postes actifs non annexes (g);424,7;431,2;424,9;414,0;417,9
