Grade;2009;2010;2011;2012;2013;Variation 2009-2013
"";0,3;0,8;0,8;0,7;0,1;-74
A;0,4;0,1;0;0;0;-100
ADJOINT ADMINIST 1 CL;14,2;14,5;16,2;16;14,2;-0,5
ADJOINT ADMINIST. 2 CL;27,5;21,5;22,3;26,8;25,9;-5,9
ADJT ADMINIS. PRINC 1 CL;7;6,5;4,7;5,6;6,6;-4,9
ADJT ADMINIS. PRINC 2 CL;5,9;8,1;7,8;7,5;7,1;20,3
ADJT ANIM. PRINC 2 CL;0;0,7;1;1;2;Inf
ADJT ANIMATION 1 CL;2,4;6;6,2;5,3;7;191,1
ADJT ANIMATION 2 CL;16,2;9,6;9,9;9,6;8,9;-45
ADJT PATRIMOINE 1 CL;1,3;4,8;4,8;3,8;3,9;207,9
ADJT PATRIMOINE 2 CL;6,2;2,7;2,7;2,8;3,6;-41
ADJT TECHNIQUE 1 CL;7,7;12;27,6;9,4;17,6;129,1
ADJT TECHNIQUE 2 CL;118,1;112,3;97,2;93,6;85,7;-27,4
ADJT. PATRIM. PRINC 1 CL;4,8;4,8;4,9;3,8;3,8;-20,4
ADJT. TECH. PRINC. 1 CL;0;0;0;24,5;32,6;Inf
ADJT. TECH. PRINC.2 CL;0;0;0;39,5;34;Inf
ADJT.TECH.PRINC.1 CL;14,4;17,8;24,4;1,8;0;-100
ADJT.TECH.PRINC.2 CL;40,6;37,3;29,7;3,9;0;-100
AGENT CONTRACTUEL;0;0;0;0;1;Inf
AGENT DE MAITRISE;13;15,9;15,3;15,8;14,6;12,2
AGENT MAITRISE PRINCIPAL;13,5;14;14,6;13;17;25,9
AGENT RECENSEUR;0,7;0,7;0,7;0,6;0,6;-12,3
AGENT SOCIAL 1 CL;0;0;0;0;1;Inf
AGENT SOCIAL 2 CL;3;2,9;3;1,8;0,8;-72,5
AGT PRINC ATSEM 1 CL;0;0;0;0,8;1,7;Inf
AGT PRINC ATSEM 2 CL;2,8;3,8;3,8;3;4,9;77
ANIMATEUR PRINCIPAL 1CL;0;0;0;1;1;Inf
ANIMATEUR PRINCIPAL 2CL;0;0;0,4;0,2;0;
ANIMATEUR REMUNERE;4,4;7;7,9;9,7;9,5;116
ANIMATEUR TER. CHEF;1,4;1;0,1;0;0;-100
ANIMATEUR TER.PRINCIPAL;0,4;1;0,6;0;0;-100
ANIMATEUR TERRITORIAL;4,6;3,5;3,6;3;3;-33,9
APPRENTI;0,3;1,2;2,3;3,9;3,5;983,2
ASS.CONS.PAT.BIB 2C;2;2;1,9;0,2;0;-100
ASS.QUA.CONS.PAT.BIB 1CL;0;0;0;0;0;
ASS.QUAL.CONS.PAT.BIB 2E;1;1;1;0,1;0;-100
ASS.QUAL.CONS.PAT.BIB HC;2;1,9;1;0,1;0;-100
ASSIST.CONSERV.PRINC 1CL;0;0;0;0;0;
ASSIST.CONSERV.PRINC 2CL;0;0;0;0,9;1,8;Inf
ASSIST.SOCIO-EDUC.PRINC;0,8;1,1;1,5;0,7;0,6;-26,8
ASSISTANT CONSERVATION;0;0;0;2,6;2;Inf
ASSISTANT SOCIO-ED PRINC;0;0;0;0;0;
ASSISTANT SOCIO-EDUCATIF;4,2;4;1,2;0,2;1,6;-62,5
ATSEM 1ERE CLASSE;20,6;19;18,5;18;14,4;-30
ATSEM 1ERE CLZZZZ;0;0;0;0;0;
ATTACHE PRINCIPAL;5,7;4,2;3,8;3;3;-47,1
ATTACHE TERR. CONS.PATRI;2;2;1;1;1;-50
ATTACHE TERRITORIAL;7,4;8,5;8,4;7,8;7,7;3,6
AUX PUER. PRINC. 1 CL;0;0;0;0;0;
AUX PUER. PRINC. 2 CL;1,2;1,6;1,6;0,8;0,9;-25
AUXILIAIRE PUER 1 CLZZZZ;0;0;0;0;0;
AUXILIAIRE PUERIC 1 CL;10,3;11;9,6;11;10,4;1,1
AUXILIAIRE SOINS 1 CL;0;0;0;0;0;
BIBLIOTHECAIRE TERR.;1;1;1;0,7;1;0
BRIGADIER  P.M.;1;1;1;0;0;-100
BRIGADIER-CHEF PPAL P.M.;6;7;6,3;6,4;5,7;-4,3
CADRE DE SANTE INFIRMIER;0;0;0;0;0;
CEA;0;0;0;0;2,7;Inf
CEC;1;1;1;0;0;-100
CHEF CUISINIER;1;1;1;1;1;0
CHEF DE SERVICE PM;0;0;0,6;0,1;0;
CHEF DE SERVICE PM CL EX;1;1;0,4;0;0;-100
CHEF SERV PM PAL 1ERE CL;0;0;0,6;0,2;0;
CHEF SERV. POLICE MUNIC.;0;0;0;0,9;1,2;Inf
CHEF SERV.PM PAL 2 CL.;0;0;0;0;0,6;Inf
CHEF SERVICE PM CL NORM;2;1,8;0,4;0;0;-100
CHOMEUR;0;0;0;0;0;
COLLABORATEUR DE CABINET;1;1;1;1;1;0
CONSEILLER MUNICIPAL;2,9;3;3;3;3;2,9
CONSERV.BIBLIOTH. CHEF;1;1;1;0,9;0;-100
