Code;Libelle
070A;CUMUL JOUR ENLEVE RI
0880;___  TEMPS NON COMPLET  ___
0890;___  TEMPS PARTIEL  ___
1007;TRAITEMENT INDICIAIRE HOR. ANIM.
1007;TRAITEMENT INDICIAIRE HOR. ANIM. FEVRIER
1007;REGUL HEURES DU 16 JUIN
1007;HEURES COMPLEMENTAIRES
1010;TRAITEMENT INDICIAIRE
1011;NOMBRE DE POINTS BONIF.
1012;NOUVELLE BONIFICATION INDICIAIRE
1013;TI ABSENCE NON REMUNEREE
1017;TRAITEMENT INDICIAIRE HORAIRE
1017;CONGES DE JUILLET A DECEMBRE 08
1017;CONGES DE JANVIER A JUILLET 09
1017;CONGES OCT 09 A JUILLET 10
1017;CONGES AOUT 10 A JUILLET 11
1017;HEURES COMPLEMENTAIRES
101B;N.B.I. DEMI-TRAITEMENT
101M;NOUVELLE BONIF. INDICIAIRE
101M;NOUVELLE BONIF. IND. - AVEC MOTIF
1022;HEURES 1ER MAI
1030;GRATIFICATION ETUDIANT EN STAGE
1040;SUPPLEMENT FAMILIAL
1041;SUPPLEMENT FAMILIAL                   MS
1041;SUPPLEMENT FAMILIAL
1510;DEMI-TRAITEMENT
151A;IND. JOURN. PR MISE A DISPO D OFFICE
1700;IND. DIFFERENTIELLE. SMIC
1707;IND. DIFF. SMIC HORAIRE
1900;HEURES SUPPL.  = 14 H
1900;HEURES SUPPL. 5 ET 6 JUILLET
1900;HEURES SUPPL. 17 12 ET 18 12 2012
1900;HEURES SUPPL CROSS
1905;HS EXO  = 14HEURES
1910;HEURES SUPPL.   14 H
1920;HEURES SUPPL. DIMANCHE JF
1920;HEURES SUPPL. DIM JF TRAIL
1925;HS EXO DIMANCHE JF
1930;HEURES SUPPL. DE NUIT
1935;HS EXO DE NUIT
1950;HEURES COMPL. TEMPS PARTIEL
1950;H COMPL 18 02 AU 31 03 09
1950;HEURES COMPL. TEMPS PARTIEL MAI ET JUIN
1950;HEURES COMPL. HD
1950;HEURES COMPL. TEMPS PARTIEL HD
