Code;Multiplicité;Type
0880;2;Rappels
0880;2;Traitement
0890;2;Rappels
0890;2;Traitement
1007;2;Rappels
1007;2;Traitement
1010;2;Rappels
1010;2;Traitement
1011;2;Rappels
1011;2;Traitement
1012;2;Rappels
1012;2;Traitement
1017;2;Rappels
1017;2;Traitement
101B;2;Rappels
101B;2;Traitement
101M;2;Rappels
101M;2;Traitement
1030;2;Rappels
1030;2;Traitement
1040;2;Rappels
1040;2;Supplément familial
1041;2;Rappels
1041;2;Supplément familial
1510;2;Rappels
1510;2;Traitement
151A;2;Rappels
151A;2;Traitement
1700;2;Indemnité
1700;2;Rappels
1707;2;Indemnité
1707;2;Rappels
1900;2;Rappels
1900;2;Traitement
1905;2;Rappels
1905;2;Traitement
1910;2;Rappels
1910;2;Traitement
1920;2;Rappels
1920;2;Traitement
1925;2;Rappels
1925;2;Traitement
1930;2;Rappels
1930;2;Traitement
1935;2;Rappels
1935;2;Traitement
1950;2;Rappels
1950;2;Traitement
195B;2;Rappels
195B;2;Traitement
195C;2;Rappels
195C;2;Traitement
195F;2;Rappels
195F;2;Traitement
196A;2;Rappels
196A;2;Traitement
205A;2;Rappels
205A;2;Traitement
211D;2;Rappels
211D;2;Traitement
2204;2;Rappels
2204;2;Traitement
2219;2;Rappels
2219;2;Traitement
2230;2;Rappels
2230;2;Traitement
2250;2;Rappels
2250;2;Traitement
2300;2;Rappels
2300;2;Traitement
2301;2;Rappels
2301;2;Traitement
2302;2;Rappels
2302;2;Traitement
230C;2;Indemnité
230C;2;Rappels
2400;2;Rappels
2400;2;Traitement
2450;2;Rappels
2450;2;Traitement
2452;2;Rappels
2452;2;Traitement
2456;2;Rappels
2456;2;Traitement
2501;2;Rappels
2501;2;Traitement
250A;2;Rappels
250A;2;Traitement
250E;2;Rappels
250E;2;Traitement
2561;2;Rappels
2561;2;Traitement
2600;2;Rappels
2600;2;Traitement
3011;2;Indemnité
3011;2;Rappels
3046;2;Indemnité
3046;2;Rappels
3051;2;Indemnité
3051;2;Rappels
3052;2;Indemnité
3052;2;Rappels
305A;2;Indemnité
305A;2;Rappels
307A;2;Rappels
307A;2;Traitement
3205;2;Indemnité
3205;2;Rappels
3209;2;Indemnité
3209;2;Rappels
3252;2;Indemnité
3252;2;Rappels
3411;2;Indemnité
3411;2;Rappels
3413;2;Indemnité
3413;2;Rappels
3420;2;Indemnité
3420;2;Rappels
3430;2;Indemnité
3430;2;Rappels
3432;2;Indemnité
3432;2;Rappels
3433;2;Indemnité
3433;2;Rappels
3435;2;Indemnité
3435;2;Rappels
401A;2;Indemnité
401A;2;Rappels
401E;2;Indemnité
401E;2;Rappels
401G;2;Indemnité
401G;2;Rappels
401N;2;Indemnité
401N;2;Rappels
401O;2;Indemnité
401O;2;Rappels
401R;2;Indemnité
401R;2;Rappels
401V;3;Indemnité
401V;3;Rappels
401V;3;Traitement
402A;2;Indemnité
402A;2;Rappels
4250;2;Indemnité
4250;2;Rappels
4290;2;Indemnité
4290;2;Rappels
4307;2;Indemnité
4307;2;Rappels
4308;2;Indemnité
4308;2;Rappels
4370;2;Indemnité
4370;2;Rappels
438H;2;Indemnité
438H;2;Rappels
4651;2;Rappels
4651;2;Traitement
4652;2;Rappels
4652;2;Traitement
4653;2;Indemnité
4653;2;Rappels
4670;2;Rappels
4670;2;Traitement
4672;2;Rappels
4672;2;Traitement
4676;2;Indemnité
4676;2;Rappels
4705;2;Avantage en nature
4705;2;Rappels
4710;2;Avantage en nature
4710;2;Rappels
4715;2;Avantage en nature
4715;2;Rappels
4750;2;Rappels
4750;2;Traitement
4770;2;Indemnité
4770;2;Rappels
4771;2;Indemnité
4771;2;Rappels
4790;2;Indemnité
4790;2;Rappels
4872;2;Indemnité
4872;2;Rappels
4929;2;Rappels
4929;2;Traitement
7210;2;Autres rémunérations
7210;2;Rappels
7211;2;Autres rémunérations
7211;2;Rappels
7231;2;Autres rémunérations
7231;2;Rappels
7232;2;Autres rémunérations
7232;2;Rappels
7233;2;Autres rémunérations
7233;2;Rappels
7600;2;Autres rémunérations
7600;2;Rappels
7650;2;Indemnité
7650;2;Rappels
8850;2;Indemnité
8850;2;Rappels
