Matricule;Annee;Mois;Statut;Indice;NBI;Libelle;Code;Heures;Heures.Sup.;Temps.de.travail;quotite.moyenne.orig;Base;Nb.Unite;Taux;Montant;Debut;Fin;Type;Service;Emploi;Grade;quotite;quotite.moyenne;Annee.rappel;Mois.rappel
010804;2012;5;NON_TITULAIRE;302;0;HEURES SUPPL. DIMANCHE JF;1920;51,51;10,5;59,34;0,572891666666667;19,21;0;3,5;67,24;;2012-04-30;R;ECOLES ELEMENTAIRES;ADJT TECHNIQUE 2 CL;ADJT TECHNIQUE 2 CL;0,5934;0,572891666666667;;
015153;2009;7;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,27;0;16,5;53,96;;2009-06-30;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
015153;2009;8;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,31;0;14;46,34;;2009-07-31;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
015153;2009;9;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,31;0;9;29,79;;2009-08-31;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
015153;2009;10;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,31;0;19,5;64,55;;2009-09-30;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
015153;2009;11;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,31;0;29,5;97,65;;2009-10-31;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
015153;2009;12;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,31;0;36;119,16;;2009-11-30;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
015153;2010;1;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,31;0;20,5;67,86;;2009-12-31;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
015153;2010;2;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,32;0;24;79,68;;2010-01-31;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
015153;2010;3;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,32;0;22;73,04;;2010-02-28;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
015153;2010;4;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,32;0;33,5;111,22;;2010-03-31;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
015153;2010;5;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,32;0;26;86,32;;2010-04-30;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
015153;2010;6;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,32;0;21,5;71,38;;2010-05-31;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
015153;2010;7;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,32;0;33;109,56;;2010-06-30;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
015153;2010;8;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,32;0;4,5;14,94;;2010-07-31;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
015153;2010;9;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,32;0;16;53,12;;2010-08-31;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
015153;2010;10;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,32;0;9,5;31,54;;2010-09-30;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
015153;2010;11;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,32;0;20;66,4;;2010-10-31;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
015153;2010;12;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,32;0;8,5;28,22;;2010-11-30;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050002;2009;1;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,27;0;7;22,89;;2008-12-31;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050002;2009;2;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,27;0;9;29,43;;2009-01-31;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050002;2009;3;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,27;0;11;35,97;;2009-02-28;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050002;2009;4;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,27;0;11,5;37,61;;2009-03-31;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050002;2009;5;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,27;0;13,5;44,15;;2009-04-30;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050002;2009;6;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,27;0;11;35,97;;2009-05-31;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050002;2009;7;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,27;0;13;42,51;;2009-06-30;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050002;2009;8;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,31;0;14;46,34;;2009-07-31;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050002;2009;10;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,31;0;14,5;48;;2009-09-30;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050002;2009;11;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,31;0;9,5;31,45;;2009-10-31;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050002;2009;12;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,31;0;11,5;38,07;;2009-11-30;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
