Matricule;Annee;Mois;Code;Libelle;Type;Montant;indic_astr;indic_IHTS
010445;2012;3;1900;HEURES SUPPL.  = 14 H;R;112,68;FALSE;TRUE
010445;2012;3;1930;HEURES SUPPL. DE NUIT;R;162,7;FALSE;TRUE
010445;2012;3;4040;IND. ASTREINTE SEM. FIL TECH.;R;224,22;TRUE;FALSE
010445;2012;3;4070;IND. ASTREINTE JOUR SAMEDI;R;52,28;TRUE;FALSE
010445;2012;3;4075;IND ASTR NUIT SEM FRACTIONNEE;R;48,48;TRUE;FALSE
010445;2013;1;1900;HEURES SUPPL.  = 14 H;R;68,86;FALSE;TRUE
010445;2013;1;1920;HEURES SUPPL. DIMANCHE JF;R;83,44;FALSE;TRUE
010445;2013;1;1930;HEURES SUPPL. DE NUIT;R;37,55;FALSE;TRUE
010445;2013;1;4070;IND. ASTREINTE JOUR SAMEDI;R;52,28;TRUE;FALSE
010445;2013;1;4075;IND ASTR NUIT SEM FRACTIONNEE;R;36,36;TRUE;FALSE
010445;2013;2;1900;HEURES SUPPL.  = 14 H;R;81,38;FALSE;TRUE
010445;2013;2;1930;HEURES SUPPL. DE NUIT;R;75,09;FALSE;TRUE
010445;2013;2;4050;IND. ASTREINTE NUIT SEMAINE;R;45,23;TRUE;FALSE
010445;2013;2;4090;INDEMNITE D ASTREINTE WEEK-END;R;327,84;TRUE;FALSE
010544;2009;8;1900;HEURES SUPPL.  = 14 H;R;145,02;FALSE;TRUE
010544;2009;8;1920;HEURES SUPPL. DIMANCHE JF;R;224,88;FALSE;TRUE
010544;2009;8;1930;HEURES SUPPL. DE NUIT;R;64,74;FALSE;TRUE
010544;2009;8;401B;INDEMNITES D ASTREINTES            M.S;R;34,86;TRUE;FALSE
010544;2009;8;4050;IND. ASTREINTE NUIT SEMAINE;R;70,35;TRUE;FALSE
010544;2009;8;4080;INDEMNITE D ASTREINTE JOURNEE DIM FERIE;R;43,38;TRUE;FALSE
010544;2009;8;4090;INDEMNITE D ASTREINTE WEEK-END;R;218,56;TRUE;FALSE
010544;2010;3;1900;HEURES SUPPL.  = 14 H;R;78,12;FALSE;TRUE
010544;2010;3;1920;HEURES SUPPL. DIMANCHE JF;R;54,28;FALSE;TRUE
010544;2010;3;1930;HEURES SUPPL. DE NUIT;R;65,13;FALSE;TRUE
010544;2010;3;401B;INDEMNITES D ASTREINTES            M.S;R;17,43;TRUE;FALSE
010544;2010;3;4040;IND. ASTREINTE SEM. FIL TECH.;R;149,48;TRUE;FALSE
010544;2010;4;1900;HEURES SUPPL.  = 14 H;R;32,55;FALSE;TRUE
010544;2010;4;1920;HEURES SUPPL. DIMANCHE JF;R;65,13;FALSE;TRUE
010544;2010;4;1930;HEURES SUPPL. DE NUIT;R;52,1;FALSE;TRUE
010544;2010;4;401B;INDEMNITES D ASTREINTES            M.S;R;17,43;TRUE;FALSE
010544;2010;4;4040;IND. ASTREINTE SEM. FIL TECH.;R;149,48;TRUE;FALSE
010544;2010;6;1900;HEURES SUPPL.  = 14 H;R;58,59;FALSE;TRUE
010544;2010;6;1920;HEURES SUPPL. DIMANCHE JF;R;75,99;FALSE;TRUE
010544;2010;6;401B;INDEMNITES D ASTREINTES            M.S;R;17,43;TRUE;FALSE
010544;2010;6;4040;IND. ASTREINTE SEM. FIL TECH.;R;149,48;TRUE;FALSE
010544;2010;8;1900;HEURES SUPPL.  = 14 H;R;98,18;FALSE;TRUE
010544;2010;8;1920;HEURES SUPPL. DIMANCHE JF;R;152,67;FALSE;TRUE
010544;2010;8;1930;HEURES SUPPL. DE NUIT;R;52,36;FALSE;TRUE
010544;2010;8;401B;INDEMNITES D ASTREINTES            M.S;R;17,43;TRUE;FALSE
010544;2010;8;4040;IND. ASTREINTE SEM. FIL TECH.;R;149,48;TRUE;FALSE
010544;2010;9;1900;HEURES SUPPL.  = 14 H;R;19,64;FALSE;TRUE
010544;2010;9;401B;INDEMNITES D ASTREINTES            M.S;R;17,43;TRUE;FALSE
010544;2010;9;4040;IND. ASTREINTE SEM. FIL TECH.;R;149,48;TRUE;FALSE
010544;2011;2;1900;HEURES SUPPL.  = 14 H;R;98,18;FALSE;TRUE
010544;2011;2;1920;HEURES SUPPL. DIMANCHE JF;R;65,43;FALSE;TRUE
010544;2011;2;401B;INDEMNITES D ASTREINTES            M.S;R;17,43;TRUE;FALSE
010544;2011;2;4040;IND. ASTREINTE SEM. FIL TECH.;R;149,48;TRUE;FALSE
010544;2011;3;1900;HEURES SUPPL.  = 14 H;R;32,73;FALSE;TRUE
010544;2011;3;1920;HEURES SUPPL. DIMANCHE JF;R;54,53;FALSE;TRUE
010544;2011;3;401B;INDEMNITES D ASTREINTES            M.S;R;17,43;TRUE;FALSE
010544;2011;3;4040;IND. ASTREINTE SEM. FIL TECH.;R;149,48;TRUE;FALSE
010544;2011;4;1900;HEURES SUPPL.  = 14 H;R;52,36;FALSE;TRUE
010544;2011;4;1920;HEURES SUPPL. DIMANCHE JF;R;54,53;FALSE;TRUE
010544;2011;4;401B;INDEMNITES D ASTREINTES            M.S;R;17,43;TRUE;FALSE
010544;2011;4;4040;IND. ASTREINTE SEM. FIL TECH.;R;149,48;TRUE;FALSE
010544;2011;5;1900;HEURES SUPPL.  = 14 H;R;26,18;FALSE;TRUE
010544;2011;5;1920;HEURES SUPPL. DIMANCHE JF;R;21,81;FALSE;TRUE
010544;2011;5;401B;INDEMNITES D ASTREINTES            M.S;R;17,43;TRUE;FALSE
010544;2011;5;4040;IND. ASTREINTE SEM. FIL TECH.;R;149,48;TRUE;FALSE
010544;2011;7;1900;HEURES SUPPL.  = 14 H;R;32,73;FALSE;TRUE
010544;2011;7;1900;HEURES SUPPL.  = 14 H;R;98,18;FALSE;TRUE
010544;2011;7;1900;HEURES SUPPL.  = 14 H;R;143,99;FALSE;TRUE
010544;2011;7;1900;HEURES SUPPL.  = 14 H;R;183,26;FALSE;TRUE
010544;2011;7;401B;INDEMNITES D ASTREINTES            M.S;R;17,43;TRUE;FALSE
010544;2011;7;4040;IND. ASTREINTE SEM. FIL TECH.;R;149,48;TRUE;FALSE
010544;2012;2;1900;HEURES SUPPL.  = 14 H;R;26,94;FALSE;TRUE
010544;2012;2;1930;HEURES SUPPL. DE NUIT;R;13,47;FALSE;TRUE
010544;2012;2;4070;IND. ASTREINTE JOUR SAMEDI;R;52,28;TRUE;FALSE
010544;2012;2;4075;IND ASTR NUIT SEM FRACTIONNEE;R;52,28;TRUE;FALSE
