Matricule;Annee;Mois;Type;Libelle;Montant
010995;2009;1;D;IRCANTEC TR. A;0,14
010995;2009;1;D;IRCANTEC TR. A;0,14
010995;2009;1;D;IRCANTEC TR. A;0,14
010995;2009;1;D;IRCANTEC TR. A;0,14
010995;2009;1;D;IRCANTEC TR. A;0,15
010995;2009;1;D;IRCANTEC TR. A;0,14
010995;2009;1;D;IRCANTEC TR. A;22,82
010995;2009;1;C;IRCANTEC TR. A;0,21
010995;2009;1;C;IRCANTEC TR. A;0,21
010995;2009;1;C;IRCANTEC TR. A;0,21
010995;2009;1;C;IRCANTEC TR. A;0,22
010995;2009;1;C;IRCANTEC TR. A;0,23
010995;2009;1;C;IRCANTEC TR. A;0,22
010995;2009;1;C;IRCANTEC TR. A;34,29
010995;2009;2;D;IRCANTEC TR. A;22,82
010995;2009;2;C;IRCANTEC TR. A;34,29
010995;2009;3;D;IRCANTEC TR. A;0,01
010995;2009;3;D;IRCANTEC TR. A;0,01
010995;2009;3;D;IRCANTEC TR. A;0,01
010995;2009;3;D;IRCANTEC TR. A;22,83
010995;2009;3;C;IRCANTEC TR. A;0,01
010995;2009;3;C;IRCANTEC TR. A;34,29
010995;2009;4;D;IRCANTEC TR. A;33,77
010995;2009;4;C;IRCANTEC TR. A;50,72
010995;2009;5;D;IRCANTEC TR. A;23,04
010995;2009;5;C;IRCANTEC TR. A;34,61
010995;2009;6;D;IRCANTEC TR. A;19,15
010995;2009;6;C;IRCANTEC TR. A;28,77
010995;2009;7;D;IRCANTEC TR. A;23,15
010995;2009;7;C;IRCANTEC TR. A;34,77
010995;2009;8;D;IRCANTEC TR. A;3,62
010995;2009;8;D;IRCANTEC TR. A;12,46
010995;2009;8;C;IRCANTEC TR. A;5,44
010995;2009;8;C;IRCANTEC TR. A;18,71
010995;2009;9;D;IRCANTEC TR. A;23,15
010995;2009;9;C;IRCANTEC TR. A;0,01
010995;2009;9;C;IRCANTEC TR. A;34,78
010995;2009;10;D;IRCANTEC TR. A;21,77
010995;2009;10;C;IRCANTEC TR. A;32,7
010995;2009;11;D;IRCANTEC TR. A;13,59
010995;2009;11;C;IRCANTEC TR. A;20,41
010995;2009;12;D;IRCANTEC TR. A;23,22
010995;2009;12;C;IRCANTEC TR. A;34,88
010995;2010;1;D;IRCANTEC TR. A;23,22
010995;2010;1;C;IRCANTEC TR. A;34,88
010995;2010;2;D;IRCANTEC TR. A;23,22
010995;2010;2;C;IRCANTEC TR. A;34,88
010995;2010;3;D;IRCANTEC TR. A;23,22
010995;2010;3;C;IRCANTEC TR. A;34,88
010995;2010;4;D;IRCANTEC TR. A;34,51
010995;2010;4;C;IRCANTEC TR. A;51,85
010995;2010;5;D;IRCANTEC TR. A;23,22
010995;2010;5;C;IRCANTEC TR. A;34,88
010995;2010;6;D;IRCANTEC TR. A;23,22
010995;2010;6;C;IRCANTEC TR. A;34,88
010995;2010;7;D;IRCANTEC TR. A;0,6
010995;2010;7;D;IRCANTEC TR. A;23,33
010995;2010;7;C;IRCANTEC TR. A;0,91
