Matricule;Annee;Mois;quotite;quotite.moyenne;nihts.tot;nihts.cum.hors.rappels;nihts.cum.rappels;nihts.cum.rappels.ant
010544;2012;10;1;1;62,86;62,86;0;0
010544;2013;3;1;1;26,94;26,94;0;0
010850;2009;1;1;1;26,96;26,96;0;0
010850;2009;2;1;1;26,96;26,96;0;0
010850;2009;3;1;1;26,96;26,96;0;0
010850;2009;4;1;1;26,96;26,96;0;0
010850;2009;5;1;1;26,96;26,96;0;0
010850;2009;6;1;1;26,96;26,96;0;0
011012;2013;12;1;1;35,72;35,72;0;0
013107;2013;7;1;1;31,08;31,08;0;0
013107;2013;8;1;1;31,08;31,08;0;0
013107;2013;9;1;1;32,78;32,78;0;0
013107;2013;10;1;1;32,78;32,78;0;0
013107;2013;11;1;1;32,78;32,78;0;0
013107;2013;12;1;1;32,78;32,78;0;0
300466;2011;11;1;1;35,95;35,95;0;0
300657;2012;1;1;1;41,56;41,56;0;0
300657;2013;8;1;1;55,56;55,56;0;0
300671;2012;1;1;1;52,89;52,89;0;0
300671;2012;2;1;1;54,32;54,32;0;0
300671;2012;3;1;1;34,92;34,92;0;0
301229;2009;12;1;0,5;27,7;27,7;0;0
301230;2010;2;1;1;31,02;31,02;0;0
301230;2010;4;1;1;31,02;31,02;0;0
301833;2011;7;1;0,5;44,22;44,22;0;0
