Matricule;Annee;Mois;Statut;Indice;NBI;Libelle;Code;Heures;Heures.Sup.;Temps.de.travail;quotite.moyenne.orig;Base;Nb.Unite;Taux;Montant;Debut;Fin;Type;Service;Emploi;Grade;quotite;quotite.moyenne;Annee.rappel;Mois.rappel
010162;2009;11;TITULAIRE;352;0;HEURES SUPPL.  = 14 H;1900;179,67;28;100;1;13,37;0;14;187,18;;;T;SECTEUR BUDGET   PAIE;REDACTEUR TERRITORIAL;REDACTEUR TERRITORIAL;1;1;;
010162;2009;11;TITULAIRE;352;0;HEURES SUPPL.  = 14 H;1900;179,67;28;100;1;13,37;0;14;187,18;;2009-10-31;R;SECTEUR BUDGET   PAIE;REDACTEUR TERRITORIAL;REDACTEUR TERRITORIAL;1;1;;
010276;2011;2;TITULAIRE;298;10;HEURES SUPPL.  = 14 H;1900;179,67;28;100;1;11,58;0;28;324,24;;2010-02-28;R;EQUIPE ROCHER CORNEILLE;ADJT PATRIMOINE 2 CL;ADJT PATRIMOINE 2 CL;1;1;;
010298;2011;8;TITULAIRE;300;0;HEURES SUPPL. DE NUIT;1930;155,67;34,5;100;1;22,9;0;4;91,6;;2011-07-31;R;EQUIPES TERRAIN;ADJT TECHNIQUE 2 CL;ADJT TECHNIQUE 2 CL;1;1;;
010298;2011;9;TITULAIRE;300;0;HEURES SUPPL.  = 14 H;1900;154,67;51,5;100;1;11,45;0;3;34,35;;2011-08-31;R;EQUIPES TERRAIN;ADJT TECHNIQUE 2 CL;ADJT TECHNIQUE 2 CL;1;1;;
010298;2011;10;TITULAIRE;300;0;HEURES SUPPL.  = 14 H;1900;159,67;43,5;100;1;11,45;0;4;45,8;;2011-09-30;R;EQUIPES TERRAIN;ADJT TECHNIQUE 2 CL;ADJT TECHNIQUE 2 CL;1;1;;
010298;2011;10;TITULAIRE;300;0;HEURES SUPPL. DIMANCHE JF;1920;159,67;43,5;100;1;19,08;0;4;76,32;;2011-09-30;R;EQUIPES TERRAIN;ADJT TECHNIQUE 2 CL;ADJT TECHNIQUE 2 CL;1;1;;
010445;2009;1;TITULAIRE;308;0;HEURES SUPPL.  = 14 H;1900;79,59;3,75;50;0,5;11,6;0;2,25;26,1;;2008-12-31;R;EQUIPE EXTERIEUR;ADJT.TECH.PRINC.2 CL;ADJT.TECH.PRINC.2 CL;0,5;0,5;;
010445;2009;1;TITULAIRE;308;0;HEURES SUPPL. DE NUIT;1930;79,59;3,75;50;0,5;19,86;0;1,5;29,79;;2008-12-31;R;EQUIPE EXTERIEUR;ADJT.TECH.PRINC.2 CL;ADJT.TECH.PRINC.2 CL;0,5;0,5;;
010445;2010;2;TITULAIRE;318;0;HEURES SUPPL.  = 14 H;1900;92,84;17;50;0,583333333333333;12,08;0;12,5;151;;2010-01-31;R;EQUIPE EXTERIEUR;ADJT.TECH.PRINC.2 CL;ADJT.TECH.PRINC.2 CL;0,5;0,583333333333333;;
010445;2010;2;TITULAIRE;318;0;HEURES SUPPL. DE NUIT;1930;92,84;17;50;0,583333333333333;24,15;0;4,5;108,68;;2010-01-31;R;EQUIPE EXTERIEUR;ADJT.TECH.PRINC.2 CL;ADJT.TECH.PRINC.2 CL;0,5;0,583333333333333;;
010445;2010;3;TITULAIRE;318;0;HEURES SUPPL.  = 14 H;1900;88,84;21;50;0,583333333333333;12,08;0;11;132,88;;2010-02-28;R;EQUIPE EXTERIEUR;ADJT.TECH.PRINC.2 CL;ADJT.TECH.PRINC.2 CL;0,5;0,583333333333333;;
010445;2010;3;TITULAIRE;318;0;HEURES SUPPL. DE NUIT;1930;88,84;21;50;0,583333333333333;24,15;0;2;48,3;;2010-02-28;R;EQUIPE EXTERIEUR;ADJT.TECH.PRINC.2 CL;ADJT.TECH.PRINC.2 CL;0,5;0,583333333333333;;
010445;2010;4;TITULAIRE;318;0;HEURES SUPPL.  = 14 H;1900;79,59;3,75;50;0,583333333333333;12,08;0;2,25;27,18;;2010-03-31;R;EQUIPE EXTERIEUR;ADJT.TECH.PRINC.2 CL;ADJT.TECH.PRINC.2 CL;0,5;0,583333333333333;;
010445;2010;4;TITULAIRE;318;0;HEURES SUPPL. DE NUIT;1930;79,59;3,75;50;0,583333333333333;24,15;0;1,5;36,23;;2010-03-31;R;EQUIPE EXTERIEUR;ADJT.TECH.PRINC.2 CL;ADJT.TECH.PRINC.2 CL;0,5;0,583333333333333;;
010445;2011;9;TITULAIRE;328;0;HEURES SUPPL.  = 14 H;1900;166,67;15;100;1;12,52;0;7,5;93,9;;2011-07-31;R;EQUIPE EXTERIEUR;ADJT.TECH.PRINC.2 CL;ADJT.TECH.PRINC.2 CL;1;1;;
010445;2011;9;TITULAIRE;328;0;HEURES SUPPL.  = 14 H;1900;166,67;15;100;1;12,52;0;7,5;93,9;;2011-08-31;R;EQUIPE EXTERIEUR;ADJT.TECH.PRINC.2 CL;ADJT.TECH.PRINC.2 CL;1;1;;
010445;2012;3;TITULAIRE;328;0;HEURES SUPPL.  = 14 H;1900;167,17;15,5;100;1;12,52;0;9;112,68;;2012-02-29;R;EQUIPE EXTERIEUR;ADJT.TECH.PRINC.2 CL;ADJT.TECH.PRINC.2 CL;1;1;;
010445;2012;3;TITULAIRE;328;0;HEURES SUPPL. DE NUIT;1930;167,17;15,5;100;1;25,03;0;6,5;162,7;;2012-02-29;R;EQUIPE EXTERIEUR;ADJT.TECH.PRINC.2 CL;ADJT.TECH.PRINC.2 CL;1;1;;
010445;2012;9;TITULAIRE;328;0;HEURES SUPPL.  = 14 H;1900;152,67;1;100;1;12,52;0;1;12,52;;2012-08-31;R;EQUIPE EXTERIEUR;ADJT. TECH. PRINC.2 CL;ADJT. TECH. PRINC.2 CL;1;1;;
010445;2013;1;TITULAIRE;328;0;HEURES SUPPL.  = 14 H;1900;162,67;7;100;1;12,52;0;5,5;68,86;;2012-12-31;R;EQUIPE EXTERIEUR;ADJT. TECH. PRINC.2 CL;ADJT. TECH. PRINC.2 CL;1;1;;
010445;2013;1;TITULAIRE;328;0;HEURES SUPPL. DIMANCHE JF;1920;162,67;7;100;1;20,86;0;4;83,44;;2012-11-30;R;EQUIPE EXTERIEUR;ADJT. TECH. PRINC.2 CL;ADJT. TECH. PRINC.2 CL;1;1;;
010445;2013;1;TITULAIRE;328;0;HEURES SUPPL. DE NUIT;1930;162,67;7;100;1;25,03;0;1,5;37,55;;2012-12-31;R;EQUIPE EXTERIEUR;ADJT. TECH. PRINC.2 CL;ADJT. TECH. PRINC.2 CL;1;1;;
010445;2013;2;TITULAIRE;328;0;HEURES SUPPL.  = 14 H;1900;161,17;9,5;100;1;12,52;0;6,5;81,38;;2013-01-31;R;EQUIPE EXTERIEUR;ADJT. TECH. PRINC.2 CL;ADJT. TECH. PRINC.2 CL;1;1;;
010445;2013;2;TITULAIRE;328;0;HEURES SUPPL. DE NUIT;1930;161,17;9,5;100;1;25,03;0;3;75,09;;2013-01-31;R;EQUIPE EXTERIEUR;ADJT. TECH. PRINC.2 CL;ADJT. TECH. PRINC.2 CL;1;1;;
010445;2013;4;TITULAIRE;328;0;HEURES SUPPL. DIMANCHE JF;1920;155,67;4;100;1;20,86;0;4;83,44;;2013-03-31;R;EQUIPE EXTERIEUR;ADJT. TECH. PRINC.2 CL;ADJT. TECH. PRINC.2 CL;1;1;;
010445;2013;5;TITULAIRE;347;0;HEURES SUPPL.  = 14 H;1900;156,17;4,5;100;1;12,52;0;4,5;56,34;;2013-04-30;R;EQUIPE EXTERIEUR;ADJT. TECH. PRINC. 1 CL;ADJT. TECH. PRINC. 1 CL;1;1;;
010445;2013;8;TITULAIRE;347;0;HEURES SUPPL. DIMANCHE JF;1920;155,67;4;100;1;22,07;0;4;88,28;;2013-07-31;R;EQUIPE EXTERIEUR;ADJT. TECH. PRINC. 1 CL;ADJT. TECH. PRINC. 1 CL;1;1;;
010497;2009;1;TITULAIRE;292;0;HEURES SUPPL.  = 14 H;1900;255,67;114;100;1;10,63;0;6;63,78;;2008-03-31;R;ECOLES ELEMENTAIRES;ADJT TECHNIQUE 2 CL;ADJT TECHNIQUE 2 CL;1;1;;
010497;2009;1;TITULAIRE;292;0;HEURES SUPPL.  = 14 H;1900;255,67;114;100;1;10,78;0;14;150,92;;2008-04-30;R;ECOLES ELEMENTAIRES;ADJT TECHNIQUE 2 CL;ADJT TECHNIQUE 2 CL;1;1;;
010497;2009;1;TITULAIRE;292;0;HEURES SUPPL.  = 14 H;1900;255,67;114;100;1;10,82;0;14;151,48;;2008-05-31;R;ECOLES ELEMENTAIRES;ADJT TECHNIQUE 2 CL;ADJT TECHNIQUE 2 CL;1;1;;
010497;2009;1;TITULAIRE;292;0;HEURES SUPPL.  = 14 H;1900;255,67;114;100;1;10,82;0;14;151,48;;2008-06-30;R;ECOLES ELEMENTAIRES;ADJT TECHNIQUE 2 CL;ADJT TECHNIQUE 2 CL;1;1;;
010497;2009;1;TITULAIRE;292;0;HEURES SUPPL.  = 14 H;1900;255,67;114;100;1;10,97;0;2;21,94;;2008-09-30;R;ECOLES ELEMENTAIRES;ADJT TECHNIQUE 2 CL;ADJT TECHNIQUE 2 CL;1;1;;
010497;2009;1;TITULAIRE;292;0;HEURES SUPPL.  = 14 H;1900;255,67;114;100;1;0,08;0;10;0,8;;2008-10-31;R;ECOLES ELEMENTAIRES;ADJT TECHNIQUE 2 CL;ADJT TECHNIQUE 2 CL;1;1;;
010497;2009;1;TITULAIRE;292;0;HEURES SUPPL.  = 14 H;1900;255,67;114;100;1;11;0;10;110;;2008-12-31;R;ECOLES ELEMENTAIRES;ADJT TECHNIQUE 2 CL;ADJT TECHNIQUE 2 CL;1;1;;
010497;2009;12;TITULAIRE;295;0;HEURES SUPPL.  = 14 H;1900;155,17;3,5;100;1;11,2;0;3,5;39,2;;2009-11-30;R;ECOLES ELEMENTAIRES;ADJT TECHNIQUE 2 CL;ADJT TECHNIQUE 2 CL;1;1;;
010509;2009;1;TITULAIRE;318;0;HEURES SUPPL. DIMANCHE JF;1920;151,67;20;100;1;0,05;0;1;0,05;;2008-10-31;R;EQUIPE DES GYMNASES;ADJT.TECH.PRINC.2 CL;ADJT.TECH.PRINC.2 CL;1;1;;
010509;2009;1;TITULAIRE;318;0;HEURES SUPPL. DE NUIT;1930;151,67;20;100;1;0,06;0;1;0,06;;2008-10-31;R;EQUIPE DES GYMNASES;ADJT.TECH.PRINC.2 CL;ADJT.TECH.PRINC.2 CL;1;1;;
010509;2009;9;TITULAIRE;318;0;HEURES SUPPL.  = 14 H;1900;154,67;3;100;1;12,04;0;2;24,08;;2009-08-31;R;EQUIPE DES GYMNASES;ADJT.TECH.PRINC.2 CL;ADJT.TECH.PRINC.2 CL;1;1;;
010509;2009;9;TITULAIRE;318;0;HEURES SUPPL. DE NUIT;1930;154,67;3;100;1;20,61;0;1;20,61;;2009-08-31;R;EQUIPE DES GYMNASES;ADJT.TECH.PRINC.2 CL;ADJT.TECH.PRINC.2 CL;1;1;;
010526;2011;8;TITULAIRE;305;0;HEURES SUPPL. DE NUIT;1930;142,5;12,5;85,71;0,8571;22,9;0;1,5;34,35;;2011-07-31;R;EQUIPE ATELIER;ADJT PATRIMOINE 2 CL;ADJT PATRIMOINE 2 CL;0,8571;0,8571;;
010528;2010;1;TITULAIRE;300;0;HEURES SUPPL.  = 14 H;1900;175,67;24;100;1;11,39;0;10;113,9;;2009-11-30;R;SECTEUR C.L.M. VAL-VERT;ADJT ANIMATION 1 CL;ADJT ANIMATION 1 CL;1;1;;
010528;2010;1;TITULAIRE;300;0;HEURES SUPPL.  = 14 H;1900;175,67;24;100;1;11,39;0;14;159,46;;2009-12-31;R;SECTEUR C.L.M. VAL-VERT;ADJT ANIMATION 1 CL;ADJT ANIMATION 1 CL;1;1;;
010528;2010;9;TITULAIRE;300;0;HEURES SUPPL.  = 14 H;1900;171,67;20;100;1;11,45;0;10;114,5;;2010-07-31;R;SECTEUR C.L.M. VAL-VERT;ADJT ANIMATION 1 CL;ADJT ANIMATION 1 CL;1;1;;
010528;2010;9;TITULAIRE;300;0;HEURES SUPPL.  = 14 H;1900;171,67;20;100;1;11,45;0;10;114,5;;2010-08-31;R;SECTEUR C.L.M. VAL-VERT;ADJT ANIMATION 1 CL;ADJT ANIMATION 1 CL;1;1;;
010544;2009;1;TITULAIRE;318;15;HEURES SUPPL.  = 14 H;1900;154,67;77,25;100;1;0,04;0;4,05;0,17;;2008-07-31;R;EQUIPES ROULEMENT;ADJT.TECH.PRINC.2 CL;ADJT.TECH.PRINC.2 CL;1;1;;
010544;2009;2;TITULAIRE;318;15;HEURES SUPPL.  = 14 H;1900;159,67;27,5;100;1;12,54;0;7;87,78;;2009-01-31;R;EQUIPES ROULEMENT;ADJT.TECH.PRINC.2 CL;ADJT.TECH.PRINC.2 CL;1;1;;
010544;2009;2;TITULAIRE;318;15;HEURES SUPPL. DE NUIT;1930;159,67;27,5;100;1;21,48;0;1;21,48;;2009-01-31;R;EQUIPES ROULEMENT;ADJT.TECH.PRINC.2 CL;ADJT.TECH.PRINC.2 CL;1;1;;
010544;2009;3;TITULAIRE;318;15;HEURES SUPPL.  = 14 H;1900;154,67;23,5;100;1;12,54;0;3;37,62;;2009-02-28;R;EQUIPES ROULEMENT;ADJT.TECH.PRINC.2 CL;ADJT.TECH.PRINC.2 CL;1;1;;
010544;2009;4;TITULAIRE;318;15;HEURES SUPPL.  = 14 H;1900;154,67;66;100;1;12,54;0;3;37,62;;2009-03-31;R;EQUIPES ROULEMENT;ADJT.TECH.PRINC.2 CL;ADJT.TECH.PRINC.2 CL;1;1;;
010544;2009;6;TITULAIRE;318;15;HEURES SUPPL.  = 14 H;1900;184,67;21,5;100;1;12,54;0;3;37,62;;2009-05-31;R;EQUIPES ROULEMENT;ADJT.TECH.PRINC.2 CL;ADJT.TECH.PRINC.2 CL;1;1;;
