Matricule;Annees;Variation (%);Moyenne géométrique annuelle(%)
010192;2009, 2010, 2011, 2012, 2013;61,7;12,8
010276;2009, 2010, 2011, 2012, 2013;109,4;20,3
010290;2009, 2010, 2011, 2012, 2013;296,4;41,1
010298;2009, 2010, 2011, 2012, 2013;301;41,5
010445;2009, 2010, 2011, 2012, 2013;716,3;69
010447;2009, 2010, 2011, 2012, 2013;302,3;41,6
010449;2009, 2010, 2011, 2012, 2013;63,4;13,1
010457;2009, 2010, 2011, 2012, 2013;372,6;47,4
010463;2009, 2010, 2011, 2012, 2013;299,6;41,4
010491;2009, 2010, 2011, 2012, 2013;137,1;24,1
010497;2009, 2010, 2011, 2012, 2013;333,9;44,3
010509;2009, 2010, 2011, 2012, 2013;308,2;42,1
010526;2009, 2010, 2011, 2012, 2013;109,5;20,3
010528;2009, 2010, 2011, 2012, 2013;338;44,7
010534;2009, 2010, 2011, 2012, 2013;-8,8;-2,3
010537;2009, 2010, 2011, 2012, 2013;74,3;14,9
010539;2009, 2010, 2011, 2012, 2013;61,7;12,8
010544;2009, 2010, 2011, 2012, 2013;53,4;11,3
010545;2009, 2010, 2011, 2012, 2013;61,7;12,8
010546;2009, 2010, 2011, 2012, 2013;308,2;42,1
010547;2009, 2010, 2011, 2012, 2013;109,2;20,3
010548;2009, 2010, 2011, 2012, 2013;61,7;12,8
010559;2009, 2010, 2011, 2012, 2013;63,4;13,1
010565;2009, 2010, 2011, 2012, 2013;5,4;1,3
010607;2009, 2010, 2011, 2012, 2013;301;41,5
010610;2009, 2010, 2012, 2013;261,3;53,5
010613;2009, 2010, 2011, 2012, 2013;170,5;28,2
010617;2009, 2010, 2011, 2012;869,1;113,2
010619;2009, 2010, 2011, 2012, 2013;308,2;42,1
010635;2009, 2010, 2011, 2012, 2013;269;38,6
010664;2009, 2010, 2011, 2012;592,2;90,6
010687;2009, 2010, 2011, 2012, 2013;296,8;41,1
010692;2009, 2010, 2011, 2012, 2013;196,9;31,3
010710;2009, 2010, 2011, 2012, 2013;316,4;42,8
010713;2009, 2010, 2011, 2012, 2013;301,1;41,5
010716;2009, 2010, 2011, 2012, 2013;296,5;41,1
010717;2009, 2010, 2011, 2012, 2013;299,7;41,4
010746;2010, 2011, 2012;299,1;99,8
010748;2009, 2010, 2011, 2012, 2013;61,7;12,8
010753;2009, 2010, 2011, 2012, 2013;299,7;41,4
010762;2009, 2010, 2011, 2012, 2013;247,4;36,5
010767;2009, 2010, 2011, 2012, 2013;269,8;38,7
010771;2009, 2010, 2011, 2012, 2013;297,8;41,2
010784;2009, 2010, 2011, 2012, 2013;308,1;42,1
010786;2009, 2010, 2011, 2012, 2013;301;41,5
010792;2009, 2010, 2011, 2012, 2013;301;41,5
010810;2009, 2010, 2011, 2012, 2013;125,7;22,6
010811;2009, 2010, 2011, 2012, 2013;61,7;12,8
010812;2009, 2010, 2011, 2012, 2013;7,5;1,8
010815;2009, 2010, 2011, 2012, 2013;61,7;12,8
010819;2009, 2010, 2011, 2012;117,6;29,6
010825;2009, 2010;0,5;0,5
010826;2009, 2010;-99,5;-99,5
010843;2009, 2010, 2011, 2012;59,1;16,7
010853;2009, 2010, 2011, 2012, 2013;63,5;13,1
010854;2009, 2010, 2011, 2012, 2013;86,8;16,9
010855;2009, 2010, 2011, 2012;219,2;47,2
010862;2009, 2010, 2011, 2012, 2013;61,7;12,8
010872;2009, 2010, 2011, 2012, 2013;163,4;27,4
010875;2009, 2010, 2011, 2012, 2013;110,2;20,4
010902;2009, 2010, 2011, 2012, 2013;419,5;51
010904;2009, 2010, 2011, 2012, 2013;308,1;42,1
010935;2009, 2010, 2011, 2012, 2013;60,4;12,5
010980;2009, 2010, 2011, 2012, 2013;41,1;9
010981;2009, 2010, 2011, 2012, 2013;86,7;16,9
010983;2009, 2010, 2011, 2012, 2013;59,1;12,3
010985;2009, 2010, 2011, 2012, 2013;26,3;6
010987;2009, 2010, 2011, 2012, 2013;268,3;38,5
010995;2009, 2010, 2011, 2012, 2013;390,7;48,8
011003;2009, 2010, 2011, 2012, 2013;179,8;29,3
011006;2009, 2010, 2011, 2012, 2013;186,1;30,1
011007;2009, 2010, 2011, 2012, 2013;63,4;13,1
011012;2009, 2010, 2011, 2012, 2013;-29,2;-8,3
011027;2009, 2010, 2011, 2012, 2013;198;31,4
011028;2009, 2010, 2011, 2012, 2013;69,2;14,1
011037;2009, 2010, 2011, 2012, 2013;86,9;16,9
011043;2009, 2010, 2011, 2012, 2013;158,4;26,8
011045;2009, 2010, 2011;740,2;189,9
011049;2009, 2010, 2011, 2012, 2013;94,2;18
011052;2009, 2010, 2011, 2012, 2013;105,5;19,7
011057;2010, 2011, 2012, 2013;83,4;22,4
011084;2009, 2010, 2011, 2012, 2013;197,7;31,3
011086;2009, 2010, 2011, 2012, 2013;198,1;31,4
011087;2009, 2010, 2011, 2012, 2013;347,5;45,4
011088;2009, 2010, 2011, 2012, 2013;-17;-4,6
011101;2009, 2010;69,2;69,2
011105;2009, 2010, 2011, 2012, 2013;179,8;29,3
011108;2009, 2010, 2011, 2012, 2013;90,6;17,5
011110;2009, 2010, 2011, 2012, 2013;150,5;25,8
011111;2009, 2010, 2011, 2012, 2013;192,7;30,8
011113;2009, 2010, 2011, 2012, 2013;301,1;41,5
011115;2009, 2010, 2011, 2012, 2013;18,2;4,3
011116;2009, 2010, 2011, 2012, 2013;35;7,8
011117;2009, 2010, 2011, 2012, 2013;116,9;21,4
011120;2009, 2010, 2011, 2012, 2013;198;31,4
011121;2009, 2010, 2011, 2012;-31,3;-11,8
011124;2009, 2010, 2011, 2012, 2013;198,4;31,4
011125;2009, 2010, 2011, 2012, 2013;63,4;13,1
011126;2009, 2010, 2011, 2012, 2013;92,5;17,8
011127;2009, 2010, 2011, 2012, 2013;105,5;19,7
011128;2009, 2010, 2011, 2012, 2013;123,2;22,2
011132;2009, 2010, 2011, 2012, 2013;179,9;29,3
011139;2009, 2010, 2011, 2012, 2013;107,6;20
011143;2009, 2010, 2011, 2012, 2013;-24,4;-6,8
011144;2009, 2010, 2011, 2012, 2013;308,2;42,1
011145;2009, 2010, 2011, 2012, 2013;110,7;20,5
011147;2009, 2010, 2011, 2012, 2013;180,2;29,4
011148;2009, 2010, 2011, 2012, 2013;97,9;18,6
011151;2009, 2010, 2011, 2012, 2013;64,4;13,2
011159;2009, 2010, 2011, 2012, 2013;99,4;18,8
011160;2009, 2010, 2011, 2012, 2013;63,4;13,1
011167;2009, 2010, 2011, 2012, 2013;85,5;16,7
011188;2009, 2010, 2011, 2012, 2013;59,1;12,3
012004;2009, 2010, 2011, 2012, 2013;159;26,9
012009;2009, 2010, 2011, 2012, 2013;16,1;3,8
012012;2009, 2010, 2011, 2012, 2013;160,3;27
012013;2009, 2010, 2011, 2012, 2013;649,2;65,4
012017;2009, 2010, 2011, 2012, 2013;272,5;38,9
012021;2009, 2010, 2011, 2012;570,4;88,6
012023;2009, 2010, 2011, 2012, 2013;325,7;43,6
012025;2009, 2010, 2011, 2012, 2013;308,1;42,1
012026;2009, 2010, 2011, 2012, 2013;5,4;1,3
012027;2009, 2010, 2011, 2012, 2013;308,1;42,1
012034;2009, 2010;90,4;90,4
012038;2009, 2010, 2011, 2012, 2013;308,1;42,1
012042;2009, 2010, 2011, 2012, 2013;354,1;46
012043;2009, 2010, 2011, 2012, 2013;308,2;42,1
012045;2009, 2010, 2011, 2012, 2013;-33,8;-9,8
012048;2009, 2010, 2011, 2012, 2013;354,9;46
012057;2009, 2010, 2011, 2012;539,3;85,6
012060;2009, 2010, 2011, 2012, 2013;297,8;41,2
012061;2009, 2010, 2011, 2012, 2013;119,9;21,8
012064;2009, 2010, 2011, 2012, 2013;7,9;1,9
012065;2009, 2010, 2011;37,6;17,3
012074;2009, 2010, 2011;37,6;17,3
012076;2009, 2010, 2011, 2012, 2013;5,4;1,3
012077;2009, 2010, 2011, 2012, 2013;53,6;11,3
012081;2009, 2010, 2011, 2012, 2013;5,4;1,3
012082;2009, 2010, 2011, 2012, 2013;297,9;41,2
012085;2009, 2010, 2011;500,7;145,1
012086;2009, 2010, 2011, 2012, 2013;84,2;16,5
012094;2009, 2010, 2011, 2012, 2013;301,1;41,5
012097;2009, 2010, 2011, 2012, 2013;5,4;1,3
012100;2009, 2010;160,8;160,8
012105;2009, 2010, 2011, 2012, 2013;42,1;9,2
012107;2009, 2010, 2011, 2012, 2013;23,6;5,4
012113;2009, 2010, 2011, 2012, 2013;308;42,1
012119;2009, 2010, 2011, 2012, 2013;308;42,1
012121;2009, 2010, 2011, 2012, 2013;308,1;42,1
012126;2009, 2010, 2011, 2012, 2013;728,4;69,7
012130;2009, 2010, 2011, 2012, 2013;308,2;42,1
