Matricule;Annee;Agrégat;c;Grade;nb.mois;Régime
010192;2009;804,09;0;ADJOINT ADMINIST. 2 CL;12;IFTS 0 mois-IAT 12 mois-Cumul 0 mois
010192;2010;1258,62;0;ADJOINT ADMINIST. 2 CL;12;IFTS 0 mois-IAT 12 mois-Cumul 0 mois
010192;2011;1260,46;0;ADJOINT ADMINIST. 2 CL;12;IFTS 0 mois-IAT 12 mois-Cumul 0 mois
010192;2012;1300,06;0;ADJOINT ADMINIST. 2 CL;12;IFTS 0 mois-IAT 12 mois-Cumul 0 mois
010192;2013;1300,06;0;ADJOINT ADMINIST. 2 CL;12;IFTS 0 mois-IAT 12 mois-Cumul 0 mois
010276;2009;1433,01;0;ADJT PATRIMOINE 2 CL;12;IFTS 0 mois-IAT 12 mois-Cumul 0 mois
010276;2010;2085,37;0;ADJT PATRIMOINE 2 CL;12;IFTS 0 mois-IAT 12 mois-Cumul 0 mois
010276;2011;2088,16;0;ADJT PATRIMOINE 2 CL;12;IFTS 0 mois-IAT 12 mois-Cumul 0 mois
010276;2012;3001,12;0;ADJT PATRIMOINE 2 CL;12;IFTS 0 mois-IAT 12 mois-Cumul 0 mois
010276;2013;3001,12;0;ADJT PATRIMOINE 2 CL;12;IFTS 0 mois-IAT 12 mois-Cumul 0 mois
010290;2009;398,34;0;ADJT TECHNIQUE 2 CL;12;IFTS 0 mois-IAT 12 mois-Cumul 0 mois
010290;2010;950,79;0;ADJT TECHNIQUE 1 CL;12;IFTS 0 mois-IAT 12 mois-Cumul 0 mois
010290;2011;951,81;0;ADJT TECHNIQUE 1 CL;12;IFTS 0 mois-IAT 12 mois-Cumul 0 mois
010290;2012;1579,17;0;ADJT. TECH. PRINC.2 CL;12;IFTS 0 mois-IAT 12 mois-Cumul 0 mois
010290;2013;1579,17;0;ADJT. TECH. PRINC.2 CL;12;IFTS 0 mois-IAT 12 mois-Cumul 0 mois
010298;2009;463,11;0;ADJT TECHNIQUE 2 CL;12;IFTS 0 mois-IAT 12 mois-Cumul 0 mois
010298;2010;574,32;0;ADJT TECHNIQUE 2 CL;11;IFTS 0 mois-IAT 11 mois-Cumul 0 mois
010298;2011;1108,72;0;ADJT TECHNIQUE 2 CL;12;IFTS 0 mois-IAT 12 mois-Cumul 0 mois
010298;2012;1857,16;0;ADJT TECHNIQUE 2 CL;12;IFTS 0 mois-IAT 12 mois-Cumul 0 mois
010298;2013;1857,16;0;ADJT TECHNIQUE 2 CL;12;IFTS 0 mois-IAT 12 mois-Cumul 0 mois
010445;2009;225,72;0;ADJT.TECH.PRINC.2 CL;12;IFTS 0 mois-IAT 12 mois-Cumul 0 mois
010445;2010;585,99;0;ADJT.TECH.PRINC.2 CL;12;IFTS 0 mois-IAT 12 mois-Cumul 0 mois
010445;2011;829,72;0;ADJT.TECH.PRINC.2 CL;12;IFTS 0 mois-IAT 12 mois-Cumul 0 mois
010445;2012;1842,4;0;ADJT. TECH. PRINC.2 CL;12;IFTS 0 mois-IAT 12 mois-Cumul 0 mois
010445;2013;1842,56;0;ADJT. TECH. PRINC.2 CL;12;IFTS 0 mois-IAT 12 mois-Cumul 0 mois
010447;2009;415,51;0;ADJT TECHNIQUE 2 CL;12;IFTS 0 mois-IAT 12 mois-Cumul 0 mois
010447;2010;995,31;0;ADJT TECHNIQUE 2 CL;12;IFTS 0 mois-IAT 12 mois-Cumul 0 mois
010447;2011;775,91;0;ADJT TECHNIQUE 2 CL;8;IFTS 0 mois-IAT 8 mois-Cumul 0 mois
010447;2012;1599,29;0;ADJT TECHNIQUE 2 CL;12;IFTS 0 mois-IAT 12 mois-Cumul 0 mois
010447;2013;1671,46;0;ADJT TECHNIQUE 2 CL;12;IFTS 0 mois-IAT 12 mois-Cumul 0 mois
010449;2009;1117,9;0;ADJOINT ADMINIST 1 CL;12;IFTS 0 mois-IAT 12 mois-Cumul 0 mois
010449;2010;1767,21;0;ADJOINT ADMINIST 1 CL;12;IFTS 0 mois-IAT 12 mois-Cumul 0 mois
010449;2011;1769,68;0;ADJOINT ADMINIST 1 CL;12;IFTS 0 mois-IAT 12 mois-Cumul 0 mois
