Matricule;Annees;Variation (%);Moyenne géométrique annuelle(%)
013106;2009, 2010, 2011, 2012, 2013;158,5;26,8
020844;2009, 2010, 2011;66,4;29
020979;2009, 2010;22,5;22,5
023158;2009, 2010, 2011, 2012, 2013;-0,1;0
023168;2009, 2010, 2011, 2012, 2013;43;9,4
300066;2009, 2010, 2011, 2012, 2013;34,1;7,6
300163;2011, 2012, 2013;-8;-4,1
300196;2009, 2010, 2011;14,6;7
300208;2009, 2010, 2011, 2013;749,9;104,1
300309;2009, 2010, 2011, 2012, 2013;-0,1;0
300352;2009, 2010, 2011;66,4;29
300357;2009, 2010, 2011;51,8;23,2
300364;2009, 2010, 2011, 2012, 2013;-30,9;-8,8
300679;2009, 2010, 2011, 2012, 2013;-5,1;-1,3
