Matricule;Annees;Variation (%);Moyenne géométrique annuelle(%)
020844;2009, 2010, 2011;134,7;53,2
020979;2009, 2010;37,1;37,1
023158;2009, 2010, 2011, 2012, 2013;-0,1;0
023168;2009, 2010, 2011, 2012, 2013;43;9,4
300066;2009, 2010, 2011, 2012, 2013;65,8;13,5
300163;2011, 2012, 2013;-8;-4,1
300196;2009, 2010, 2011;14,6;7
300309;2009, 2010, 2011, 2012, 2013;-0,1;0
300352;2009, 2010, 2011;134,7;53,2
300357;2009, 2010, 2011;109,7;44,8
300364;2009, 2010, 2011, 2012, 2013;-30,9;-8,8
300679;2009, 2010, 2011, 2012, 2013;-5,1;-1,3
