Matricule;Annees;Variation (%);Moyenne géométrique annuelle(%)
011011;2009, 2010, 2011, 2012, 2013;273,4;39
011018;2009, 2010, 2011, 2012, 2013;410,4;50,3
011030;2009, 2010, 2011;427,4;129,7
011044;2009, 2010, 2011, 2012, 2013;410,4;50,3
011061;2009, 2010, 2011, 2012;171,9;39,6
011066;2009, 2010, 2011, 2012, 2013;331,7;44,1
011093;2009, 2010, 2011, 2012;971,3;120,5
011118;2009, 2010, 2011, 2012, 2013;410,4;50,3
011164;2009, 2010, 2011, 2012, 2013;273,4;39
023180;2009, 2010, 2011, 2012, 2013;410,4;50,3
221162;2009, 2010, 2011, 2012, 2013;410,4;50,3
300459;2009, 2010, 2011, 2012, 2013;410,4;50,3
300906;2009, 2010, 2011, 2012, 2013;617,2;63,7
301329;2009, 2010, 2011, 2012, 2013;2087,2;116,3
