Matricule;Annee;Agrégat;c;Grade;nb.mois;Régime
011011;2009;1875,12;0;REDACTEUR TER. CHEF;12;IEMP 12 mois-PFR 0 mois-Cumul 0 mois
011011;2010;1875,12;0;REDACTEUR TER. CHEF;12;IEMP 12 mois-PFR 0 mois-Cumul 0 mois
011011;2011;2944,6;0;REDACTEUR TER. CHEF;12;IEMP 8 mois-PFR 4 mois-Cumul 0 mois
011011;2012;7002,52;0;ATTACHE TERRITORIAL;12;IEMP 0 mois-PFR 12 mois-Cumul 0 mois
011011;2013;7002,52;0;ATTACHE TERRITORIAL;12;IEMP 0 mois-PFR 12 mois-Cumul 0 mois
011018;2009;1372,08;0;ATTACHE PRINCIPAL;12;IEMP 12 mois-PFR 0 mois-Cumul 0 mois
011018;2010;1372,08;0;ATTACHE PRINCIPAL;12;IEMP 12 mois-PFR 0 mois-Cumul 0 mois
011018;2011;6127,56;1;ATTACHE PRINCIPAL;12;IEMP 5 mois-PFR 6 mois-Cumul 1 mois
011018;2012;7003,24;0;ATTACHE PRINCIPAL;12;IEMP 0 mois-PFR 12 mois-Cumul 0 mois
011018;2013;7003,24;0;ATTACHE PRINCIPAL;12;IEMP 0 mois-PFR 12 mois-Cumul 0 mois
011030;2009;1494;0;DIRECTEUR TERRITORIAL;12;IEMP 12 mois-PFR 0 mois-Cumul 0 mois
011030;2010;1494;0;DIRECTEUR TERRITORIAL;12;IEMP 12 mois-PFR 0 mois-Cumul 0 mois
011030;2011;7879,44;1;DIRECTEUR TERRITORIAL;12;IEMP 5 mois-PFR 6 mois-Cumul 1 mois
011044;2009;1372,08;0;ATTACHE PRINCIPAL;12;IEMP 12 mois-PFR 0 mois-Cumul 0 mois
011044;2010;1372,08;0;ATTACHE PRINCIPAL;12;IEMP 12 mois-PFR 0 mois-Cumul 0 mois
011044;2011;7169,88;1;ATTACHE PRINCIPAL;12;IEMP 5 mois-PFR 6 mois-Cumul 1 mois
011044;2012;7003,24;0;ATTACHE PRINCIPAL;12;IEMP 0 mois-PFR 12 mois-Cumul 0 mois
011044;2013;7003,24;0;ATTACHE PRINCIPAL;12;IEMP 0 mois-PFR 12 mois-Cumul 0 mois
011061;2009;4482;0;DIRECT.GEN.ADJ. SERVICES;12;IEMP 12 mois-PFR 0 mois-Cumul 0 mois
011061;2010;4482;0;DIRECT.GEN.ADJ. SERVICES;12;IEMP 12 mois-PFR 0 mois-Cumul 0 mois
011061;2011;16070,91;1;DIRECT.GEN.ADJ. SERVICES;12;IEMP 5 mois-PFR 6 mois-Cumul 1 mois
011061;2012;2031,44;0;DIRECT.GEN.ADJ. SERVICES;2;IEMP 0 mois-PFR 2 mois-Cumul 0 mois
011066;2009;1092,51;0;REDACTEUR TER. CHEF;12;IEMP 12 mois-PFR 0 mois-Cumul 0 mois
011066;2010;960,48;0;ATTACHE TERRITORIAL;12;IEMP 12 mois-PFR 0 mois-Cumul 0 mois
011066;2011;3558,48;1;ATTACHE TERRITORIAL;12;IEMP 5 mois-PFR 6 mois-Cumul 1 mois
011066;2012;4901,74;0;ATTACHE TERRITORIAL;12;IEMP 0 mois-PFR 12 mois-Cumul 0 mois
011066;2013;4716,22;0;ATTACHE TERRITORIAL;12;IEMP 0 mois-PFR 12 mois-Cumul 0 mois
011093;2009;1372,08;0;ATTACHE TERRITORIAL;12;IEMP 12 mois-PFR 0 mois-Cumul 0 mois
011093;2010;1372,08;0;ATTACHE TERRITORIAL;12;IEMP 12 mois-PFR 0 mois-Cumul 0 mois
011093;2011;5083,56;1;ATTACHE TERRITORIAL;12;IEMP 5 mois-PFR 6 mois-Cumul 1 mois
011093;2012;1224,98;0;ATTACHE TERRITORIAL;1;IEMP 0 mois-PFR 1 mois-Cumul 0 mois
011118;2009;1372,08;0;ATTACHE PRINCIPAL;12;IEMP 12 mois-PFR 0 mois-Cumul 0 mois
011118;2010;1372,08;0;ATTACHE PRINCIPAL;12;IEMP 12 mois-PFR 0 mois-Cumul 0 mois
011118;2011;6127,56;1;ATTACHE PRINCIPAL;12;IEMP 5 mois-PFR 6 mois-Cumul 1 mois
011118;2012;7003,24;0;ATTACHE PRINCIPAL;12;IEMP 0 mois-PFR 12 mois-Cumul 0 mois
011118;2013;7003,24;0;ATTACHE PRINCIPAL;12;IEMP 0 mois-PFR 12 mois-Cumul 0 mois
011164;2009;1875,12;0;REDACTEUR TER. CHEF;12;IEMP 12 mois-PFR 0 mois-Cumul 0 mois
011164;2010;1455,92;0;REDACTEUR TER. CHEF;12;IEMP 12 mois-PFR 0 mois-Cumul 0 mois
011164;2011;5083,56;1;ATTACHE TERRITORIAL;12;IEMP 5 mois-PFR 6 mois-Cumul 1 mois
011164;2012;7002,52;0;ATTACHE TERRITORIAL;12;IEMP 0 mois-PFR 12 mois-Cumul 0 mois
011164;2013;7002,52;0;ATTACHE TERRITORIAL;12;IEMP 0 mois-PFR 12 mois-Cumul 0 mois
023180;2009;1372,08;0;ATTACHE TERRITORIAL;12;IEMP 12 mois-PFR 0 mois-Cumul 0 mois
023180;2010;1372,08;0;ATTACHE TERRITORIAL;12;IEMP 12 mois-PFR 0 mois-Cumul 0 mois
023180;2011;5926,2;1;ATTACHE TERRITORIAL;12;IEMP 5 mois-PFR 6 mois-Cumul 1 mois
023180;2012;7002,52;0;ATTACHE TERRITORIAL;12;IEMP 0 mois-PFR 12 mois-Cumul 0 mois
023180;2013;7002,52;0;ATTACHE TERRITORIAL;12;IEMP 0 mois-PFR 12 mois-Cumul 0 mois
