Matricule;Annees;Variation (%);Moyenne géométrique annuelle(%)
011011;2009, 2010, 2011, 2012, 2013;307,9;42,1
011018;2009, 2010, 2011, 2012, 2013;48,7;10,4
011030;2009, 2010, 2011;53,8;24
011044;2009, 2010, 2011, 2012, 2013;21,9;5,1
011061;2009, 2010, 2011, 2012;-47,7;-19,5
011066;2009, 2010, 2011, 2012, 2013;114,5;21
011093;2009, 2010, 2011, 2012;299,8;58,7
011118;2009, 2010, 2011, 2012, 2013;48,7;10,4
011164;2009, 2010, 2011, 2012, 2013;307,9;42,1
023180;2009, 2010, 2011, 2012, 2013;55,3;11,6
221162;2009, 2010, 2011, 2012, 2013;90,5;17,5
300459;2009, 2010, 2011, 2012, 2013;90,5;17,5
300906;2009, 2010, 2011, 2012, 2013;123,1;22,2
300909;2009, 2013;313140,7;313140,7
301329;2009, 2010, 2011, 2012, 2013;562,6;60,4
