Matricule;Annee;Agrégat;c;Grade;nb.mois;Régime
011011;2009;1716,89;0;REDACTEUR TER. CHEF;12;IFTS 12 mois-PFR 0 mois-Cumul 0 mois
011011;2010;2370,35;0;REDACTEUR TER. CHEF;12;IFTS 12 mois-PFR 0 mois-Cumul 0 mois
011011;2011;3491,16;0;REDACTEUR TER. CHEF;12;IFTS 8 mois-PFR 4 mois-Cumul 0 mois
011011;2012;7002,52;0;ATTACHE TERRITORIAL;12;IFTS 0 mois-PFR 12 mois-Cumul 0 mois
011011;2013;7002,52;0;ATTACHE TERRITORIAL;12;IFTS 0 mois-PFR 12 mois-Cumul 0 mois
011018;2009;4708,25;0;ATTACHE PRINCIPAL;12;IFTS 12 mois-PFR 0 mois-Cumul 0 mois
011018;2010;5382,68;0;ATTACHE PRINCIPAL;12;IFTS 12 mois-PFR 0 mois-Cumul 0 mois
011018;2011;6769;1;ATTACHE PRINCIPAL;12;IFTS 5 mois-PFR 6 mois-Cumul 1 mois
011018;2012;7003,24;0;ATTACHE PRINCIPAL;12;IFTS 0 mois-PFR 12 mois-Cumul 0 mois
011018;2013;7003,24;0;ATTACHE PRINCIPAL;12;IFTS 0 mois-PFR 12 mois-Cumul 0 mois
011030;2009;5958,52;0;DIRECTEUR TERRITORIAL;12;IFTS 12 mois-PFR 0 mois-Cumul 0 mois
011030;2010;7012,08;0;DIRECTEUR TERRITORIAL;12;IFTS 12 mois-PFR 0 mois-Cumul 0 mois
011030;2011;9162,32;2;DIRECTEUR TERRITORIAL;12;IFTS 5 mois-PFR 5 mois-Cumul 2 mois
011044;2009;5743,3;0;ATTACHE PRINCIPAL;12;IFTS 12 mois-PFR 0 mois-Cumul 0 mois
011044;2010;6424,89;0;ATTACHE PRINCIPAL;12;IFTS 12 mois-PFR 0 mois-Cumul 0 mois
011044;2011;7811,32;1;ATTACHE PRINCIPAL;12;IFTS 5 mois-PFR 6 mois-Cumul 1 mois
011044;2012;7003,24;0;ATTACHE PRINCIPAL;12;IFTS 0 mois-PFR 12 mois-Cumul 0 mois
011044;2013;7003,24;0;ATTACHE PRINCIPAL;12;IFTS 0 mois-PFR 12 mois-Cumul 0 mois
011061;2009;11661,38;0;DIRECT.GEN.ADJ. SERVICES;12;IFTS 12 mois-PFR 0 mois-Cumul 0 mois
011061;2010;11743,12;0;DIRECT.GEN.ADJ. SERVICES;12;IFTS 12 mois-PFR 0 mois-Cumul 0 mois
011061;2011;16070,91;1;DIRECT.GEN.ADJ. SERVICES;12;IFTS 5 mois-PFR 6 mois-Cumul 1 mois
011061;2012;2031,44;0;DIRECT.GEN.ADJ. SERVICES;4;IFTS 2 mois-PFR 2 mois-Cumul 0 mois
011066;2009;2198,23;0;REDACTEUR TER. CHEF;12;IFTS 12 mois-PFR 0 mois-Cumul 0 mois
011066;2010;3040,18;0;ATTACHE TERRITORIAL;12;IFTS 12 mois-PFR 0 mois-Cumul 0 mois
