Matricule;Annees;Variation (%);Moyenne géométrique annuelle(%)
011011;2011, 2012, 2013;37,7;17,4
011018;2011, 2012, 2013;-33,3;-18,3
011044;2011, 2012, 2013;-43;-24,5
011061;2011, 2012;-55,8;-55,8
011066;2011, 2012, 2013;-22,7;-12,1
011093;2011, 2012;68,7;68,7
011118;2011, 2012, 2013;-33,3;-18,3
011164;2011, 2012, 2013;-19,6;-10,4
023180;2011, 2012, 2013;-31,1;-17
221162;2011, 2012, 2013;-19,6;-10,4
300459;2011, 2012, 2013;-19,6;-10,4
300906;2011, 2012, 2013;-42,6;-24,2
301329;2011, 2012, 2013;-31,1;-17
