Matricule;Annee;Agrégat;c;Grade;nb.mois;Régime
011011;2011;1694,52;0;ATTACHE TERRITORIAL;4;ISS 0 mois-PFR 4 mois-Cumul 0 mois
011011;2012;7002,52;0;ATTACHE TERRITORIAL;12;ISS 0 mois-PFR 12 mois-Cumul 0 mois
011011;2013;7002,52;0;ATTACHE TERRITORIAL;12;ISS 0 mois-PFR 12 mois-Cumul 0 mois
011018;2011;6127,56;0;ATTACHE PRINCIPAL;7;ISS 0 mois-PFR 7 mois-Cumul 0 mois
011018;2012;7003,24;0;ATTACHE PRINCIPAL;12;ISS 0 mois-PFR 12 mois-Cumul 0 mois
011018;2013;7003,24;0;ATTACHE PRINCIPAL;12;ISS 0 mois-PFR 12 mois-Cumul 0 mois
011030;2011;7879,44;0;DIRECTEUR TERRITORIAL;7;ISS 0 mois-PFR 7 mois-Cumul 0 mois
011044;2011;7169,88;0;ATTACHE PRINCIPAL;7;ISS 0 mois-PFR 7 mois-Cumul 0 mois
011044;2012;7003,24;0;ATTACHE PRINCIPAL;12;ISS 0 mois-PFR 12 mois-Cumul 0 mois
011044;2013;7003,24;0;ATTACHE PRINCIPAL;12;ISS 0 mois-PFR 12 mois-Cumul 0 mois
011061;2011;16070,91;0;DIRECT.GEN.ADJ. SERVICES;7;ISS 0 mois-PFR 7 mois-Cumul 0 mois
011061;2012;2031,44;0;DIRECT.GEN.ADJ. SERVICES;2;ISS 0 mois-PFR 2 mois-Cumul 0 mois
011066;2011;3558,48;0;ATTACHE TERRITORIAL;7;ISS 0 mois-PFR 7 mois-Cumul 0 mois
011066;2012;4901,74;0;ATTACHE TERRITORIAL;12;ISS 0 mois-PFR 12 mois-Cumul 0 mois
011066;2013;4716,22;0;ATTACHE TERRITORIAL;12;ISS 0 mois-PFR 12 mois-Cumul 0 mois
011093;2011;5083,56;0;ATTACHE TERRITORIAL;7;ISS 0 mois-PFR 7 mois-Cumul 0 mois
011093;2012;1224,98;0;ATTACHE TERRITORIAL;1;ISS 0 mois-PFR 1 mois-Cumul 0 mois
011118;2011;6127,56;0;ATTACHE PRINCIPAL;7;ISS 0 mois-PFR 7 mois-Cumul 0 mois
011118;2012;7003,24;0;ATTACHE PRINCIPAL;12;ISS 0 mois-PFR 12 mois-Cumul 0 mois
011118;2013;7003,24;0;ATTACHE PRINCIPAL;12;ISS 0 mois-PFR 12 mois-Cumul 0 mois
011164;2011;5083,56;0;ATTACHE TERRITORIAL;7;ISS 0 mois-PFR 7 mois-Cumul 0 mois
011164;2012;7002,52;0;ATTACHE TERRITORIAL;12;ISS 0 mois-PFR 12 mois-Cumul 0 mois
011164;2013;7002,52;0;ATTACHE TERRITORIAL;12;ISS 0 mois-PFR 12 mois-Cumul 0 mois
023180;2011;5926,2;0;ATTACHE TERRITORIAL;7;ISS 0 mois-PFR 7 mois-Cumul 0 mois
023180;2012;7002,52;0;ATTACHE TERRITORIAL;12;ISS 0 mois-PFR 12 mois-Cumul 0 mois
023180;2013;7002,52;0;ATTACHE TERRITORIAL;12;ISS 0 mois-PFR 12 mois-Cumul 0 mois
221162;2011;5083,56;0;ATTACHE TERRITORIAL;7;ISS 0 mois-PFR 7 mois-Cumul 0 mois
221162;2012;7002,52;0;ATTACHE TERRITORIAL;12;ISS 0 mois-PFR 12 mois-Cumul 0 mois
221162;2013;7002,52;0;ATTACHE TERRITORIAL;12;ISS 0 mois-PFR 12 mois-Cumul 0 mois
300459;2011;5083,56;0;ATTACHE TERRITORIAL;7;ISS 0 mois-PFR 7 mois-Cumul 0 mois
300459;2012;7215,44;0;ATTACHE TERRITORIAL;12;ISS 0 mois-PFR 12 mois-Cumul 0 mois
300459;2013;7002,52;0;ATTACHE TERRITORIAL;12;ISS 0 mois-PFR 12 mois-Cumul 0 mois
300906;2011;10003,08;0;ATTACHE TERRITORIAL;7;ISS 0 mois-PFR 7 mois-Cumul 0 mois
300906;2012;10644,52;0;ATTACHE TERRITORIAL;12;ISS 0 mois-PFR 12 mois-Cumul 0 mois
300906;2013;9841,21;0;ATTACHE TERRITORIAL;12;ISS 0 mois-PFR 12 mois-Cumul 0 mois
300909;2013;6766;0;DIRECTEUR DE CABINET;12;ISS 0 mois-PFR 12 mois-Cumul 0 mois
300916;2013;13420,8;0;AGENT CONTRACTUEL;12;ISS 0 mois-PFR 12 mois-Cumul 0 mois
301329;2011;5926,2;0;ATTACHE TERRITORIAL;7;ISS 0 mois-PFR 7 mois-Cumul 0 mois
301329;2012;7002,52;0;ATTACHE TERRITORIAL;12;ISS 0 mois-PFR 12 mois-Cumul 0 mois
301329;2013;7002,52;0;ATTACHE TERRITORIAL;12;ISS 0 mois-PFR 12 mois-Cumul 0 mois
