Matricule;Annees;Variation (%);Moyenne géométrique annuelle(%)
010850;2009, 2010, 2011, 2012, 2013;22;5,1
011025;2009, 2010, 2011, 2012, 2013;28,7;6,5
011121;2009, 2010, 2011, 2012, 2013;12,8;3,1
012019;2009, 2010, 2011, 2012;2,4;0,8
012033;2009, 2010, 2011, 2012, 2013;75,4;15,1
012050;2009, 2010, 2011, 2012, 2013;2,4;0,6
012065;2009, 2010, 2011, 2012, 2013;12,8;3,1
012069;2009, 2010, 2011, 2012, 2013;-23,2;-6,4
012074;2009, 2010, 2011, 2012, 2013;12,8;3,1
012114;2009, 2010, 2011, 2012, 2013;25,2;5,8
012118;2009, 2010, 2011, 2012, 2013;11,3;2,7
012125;2009, 2010, 2011, 2012, 2013;11,3;2,7
012150;2009, 2010, 2011, 2012, 2013;1,2;0,3
012161;2010, 2011, 2012, 2013;72,5;19,9
012190;2009, 2010, 2011, 2012, 2013;11,3;2,7
012191;2009, 2010, 2011, 2012, 2013;18;4,2
073176;2009, 2010, 2011, 2012, 2013;-19,1;-5,2
300055;2009, 2010, 2011, 2012;63,4;17,8
300130;2009, 2010, 2011, 2012, 2013;70,2;14,2
300140;2009, 2010, 2011, 2012, 2013;-17,4;-4,7
300209;2009, 2010, 2011;1;0,5
300435;2009, 2010, 2011, 2012;21,5;6,7
300466;2009, 2010, 2011, 2012, 2013;18;4,2
300706;2009, 2010, 2011, 2012, 2013;94,1;18
301290;2009, 2010, 2011, 2012, 2013;91,3;17,6
