Grade;2009;2010;2011;2012;2013;Variation 2009-2013
"";6900;3743;4923;17645;32121;365,5
ADJOINT ADMINIST 1 CL;31016;30549;30477;30927;31228;0,7
ADJOINT ADMINIST. 2 CL;28407;27072;28575;28519;29523;3,9
ADJT ADMINIS. PRINC 1 CL;36473;36981;37561;37294;38541;5,7
ADJT ADMINIS. PRINC 2 CL;33508;31612;34576;33099;34034;1,6
ADJT ANIM. PRINC 2 CL;0;33352;34186;34874;33926;Inf
ADJT ANIMATION 1 CL;28913;29087;29424;30337;31136;7,7
ADJT ANIMATION 2 CL;27327;28011;28488;29354;30449;11,4
ADJT PATRIMOINE 1 CL;29546;30161;30871;31603;31351;6,1
ADJT PATRIMOINE 2 CL;28276;29160;28148;28825;30100;6,5
ADJT TECHNIQUE 1 CL;26097;26893;28914;30661;32045;22,8
ADJT TECHNIQUE 2 CL;27465;26950;26462;28706;29458;7,3
ADJT. PATRIM. PRINC 1 CL;35944;37026;36728;38725;39171;9
ADJT. TECH. PRINC. 1 CL;0;0;0;35586;36800;Inf
ADJT. TECH. PRINC.2 CL;0;0;0;32088;32001;Inf
ADJT.TECH.PRINC.1 CL;36571;35835;34402;38249;0;-100
ADJT.TECH.PRINC.2 CL;31448;31253;31398;32664;0;-100
AGENT CONTRACTUEL;0;0;0;0;83237;Inf
AGENT DE MAITRISE;34274;35026;35523;35814;36897;7,7
AGENT MAITRISE PRINCIPAL;39106;38449;39720;39675;39569;1,2
AGENT RECENSEUR;18163;18260;18627;22738;20171;11,1
AGENT SOCIAL 1 CL;0;0;0;0;32059;Inf
AGENT SOCIAL 2 CL;26642;26593;27585;27918;30298;13,7
AGT PRINC ATSEM 1 CL;0;0;0;39371;36890;Inf
AGT PRINC ATSEM 2 CL;34237;34336;34528;36018;35131;2,6
ANIMATEUR PRINCIPAL 1CL;0;0;0;40214;41736;Inf
ANIMATEUR PRINCIPAL 2CL;0;0;38278;27573;0;
ANIMATEUR REMUNERE;16005;11022;12183;12115;11701;-26,9
ANIMATEUR TER. CHEF;40244;43737;51179;0;0;-100
ANIMATEUR TER.PRINCIPAL;36383;37087;38488;0;0;-100
ANIMATEUR TERRITORIAL;36383;37258;37956;35199;35907;-1,3
APPRENTI;5622;5334;8234;9708;9294;65,3
ASS.CONS.PAT.BIB 2C;30303;31594;32735;34801;0;-100
ASS.QUA.CONS.PAT.BIB 1CL;0;0;0;0;0;
ASS.QUAL.CONS.PAT.BIB 2E;45318;45294;45333;44842;0;-100
ASS.QUAL.CONS.PAT.BIB HC;48297;42780;47384;48432;0;-100
ASSIST.CONSERV.PRINC 1CL;0;0;0;0;0;
ASSIST.CONSERV.PRINC 2CL;0;0;0;47965;44487;Inf
ASSIST.SOCIO-EDUC.PRINC;37307;38116;32539;43137;44875;20,3
ASSISTANT CONSERVATION;0;0;0;36150;36844;Inf
ASSISTANT SOCIO-ED PRINC;0;0;0;0;0;
ASSISTANT SOCIO-EDUCATIF;33350;34927;21584;23651;31649;-5,1
ASSISTANTE MATERNELLE;757710;1724257;0;0;0;-100
ATSEM 1ERE CLASSE;29516;29185;29806;31538;31469;6,6
ATSEM 1ERE CLZZZZ;0;0;0;0;0;
ATTACHE PRINCIPAL;67360;64078;67946;71339;74129;10
ATTACHE TERR. CONS.PATRI;46415;47079;51606;47900;48808;5,2
ATTACHE TERRITORIAL;47521;51704;52281;53217;53762;13,1
AUX PUER. PRINC. 1 CL;0;0;0;0;0;
AUX PUER. PRINC. 2 CL;38412;37061;37463;36402;33186;-13,6
AUXILIAIRE PUER 1 CLZZZZ;0;0;0;0;0;
AUXILIAIRE PUERIC 1 CL;28467;27811;28642;29497;29595;4
AUXILIAIRE SOINS 1 CL;0;0;0;0;0;
BIBLIOTHECAIRE TERR.;60132;60901;60286;36744;38722;-35,6
BRIGADIER  P.M.;37425;30614;31589;0;0;-100
BRIGADIER-CHEF PPAL P.M.;38962;39519;39890;39822;39858;2,3
CADRE DE SANTE INFIRMIER;0;0;0;0;0;
CEA;0;0;0;0;18832;Inf
CEC;23472;22958;23910;0;0;-100
CHEF CUISINIER;42030;42139;43117;43557;43492;3,5
CHEF DE SERVICE PM;0;0;45632;44708;0;
CHEF DE SERVICE PM CL EX;50851;52874;53869;0;0;-100
CHEF SERV PM PAL 1ERE CL;0;0;54559;32273;0;
CHEF SERV. POLICE MUNIC.;0;0;0;45840;47461;Inf
CHEF SERV.PM PAL 2 CL.;0;0;0;0;49335;Inf
CHEF SERVICE PM CL NORM;43557;45711;45439;0;0;-100
CHOMEUR;0;0;0;0;0;
COLLABORATEUR DE CABINET;47056;46757;51228;52967;36996;-21,4
CONSEILLER MUNICIPAL;6024;6315;4711;4463;4474;-25,7
CONSERV.BIBLIOTH. CHEF;88621;80809;88909;89569;0;-100
CONSERV.PATRIMOINE CHEF;87155;89345;95461;0;0;-100
CONTRAT D ACCOMP. EMPLOI;20094;20585;19214;19737;0;-100
CONTRAT UNIQUE D INSERT;0;21003;19813;19736;18808;Inf
CONTROLEUR TER.PAL. TRAV;45722;46348;0;0;0;-100
D.G.A.S. 20000 40000 HAB;0;0;0;0;0;
DGST 40 80 MILES HAB;92999;93570;93230;93410;93939;1
DIRECT. GENER. SERVICES;0;0;0;0;0;
DIRECT.GEN.ADJ. SERVICES;87489;88085;88535;47355;0;-100
DIRECTEUR DE CABINET;75012;75302;79308;80113;71439;-4,8
DIRECTEUR TERRITORIAL;76994;77826;83769;0;0;-100
EDUC.DE JEUNES ENFANTS;34559;34468;33503;33477;32338;-6,4
EDUC.PRINC.JEUNES ENFANT;0;41694;41999;36532;49904;Inf
EDUC.TER.PRINC 1CL APS;0;0;0;41305;43321;Inf
EDUC.TER.PRINC 2CL APS;0;0;39681;0;0;
EDUCATEUR J ENFANTS;0;0;0;0;40563;Inf
EDUCATEUR TER. APS 2 CL;37144;32830;33901;0;0;-100
EDUCATEUR TER. APS1CL;0;38065;41677;0;0;
EDUCATEUR TERRIT. APS;0;0;33971;34653;36668;Inf
GARDIEN POLICE MUNICIPAL;30133;0;29112;31004;32318;7,3
INFIRMIER CLASSE NORMALE;0;0;0;0;0;
