age;Hommes;Femmes;année.référence;versant
15;64;42;2013;fpt
16;420;240;;
17;786;544;;
18;1508;1522;;
19;2425;3367;;
20;3431;5012;;
21;4279;6796;;
22;5118;8414;;
23;5955;10020;;
24;7156;11948;;
25;8284;13414;;
26;9120;14538;;
27;10123;15991;;
28;10672;16657;;
29;11279;17312;;
30;11814;17852;;
31;13566;19981;;
32;14696;21290;;
33;15033;22553;;
34;15260;22584;;
35;15607;22888;;
36;16630;24257;;
37;16776;24786;;
38;18307;26323;;
39;20619;29749;;
40;22609;32575;;
41;23031;34321;;
42;22991;35315;;
43;22745;35381;;
44;22447;35848;;
45;22427;36170;;
46;22795;37356;;
47;23952;39341;;
48;24587;40314;;
49;25546;41592;;
50;25112;40645;;
51;24282;38700;;
52;24929;38572;;
53;24715;37330;;
54;24249;37163;;
55;23775;35272;;
56;22589;33820;;
57;21446;32231;;
58;19700;30265;;
59;18322;28645;;
60;12594;23990;;
61;7363;14537;;
62;4840;9139;;
63;3559;6908;;
64;2649;5349;;
65;1094;2200;;
66;571;1238;;
67;337;648;;
68;142;274;;
