Loading http://mirrors.ibiblio.org/pub/mirrors/CTAN/systems/texlive/tlnet/tlpkg/texlive.tlpdb
Installing TeX Live 2014 from: http://mirrors.ibiblio.org/pub/mirrors/CTAN/systems/texlive/tlnet
Platform: win32 => 'Windows'
Distribution: net  (downloading)
Using URL: http://mirrors.ibiblio.org/pub/mirrors/CTAN/systems/texlive/tlnet
Directory for temporary files: C:/Users/fnicol/AppData/Local/Temp
Installer revision: 36087
Database revision: 36203
Installing [001/842, time/total: ??:??/??:??]: 12many [3k]
Installing [002/842, time/total: 00:01/23:09:12]: FAQ-en [1k]
Installing [003/842, time/total: 00:01/18:39:30]: MemoirChapStyles [1k]
Installing [004/842, time/total: 00:01/15:09:19]: Type1fonts [1k]
Installing [005/842, time/total: 00:02/25:39:18]: a2ping [31k]
Installing [006/842, time/total: 00:02/02:46:32]: a2ping.win32 [1k]
Installing [007/842, time/total: 00:02/02:43:21]: accfonts [22k]
Installing [008/842, time/total: 00:03/02:30:46]: accfonts.win32 [1k]
Installing [009/842, time/total: 00:03/02:28:56]: adhocfilelist [4k]
Installing [010/842, time/total: 00:04/03:07:10]: ae [56k]
Installing [011/842, time/total: 00:04/01:37:19]: aeguill [3k]
Installing [012/842, time/total: 00:05/01:59:18]: afm2pl [10k]
Installing [013/842, time/total: 00:05/01:50:38]: afm2pl.win32 [15k]
Installing [014/842, time/total: 00:06/01:59:23]: amscls [32k]
Installing [015/842, time/total: 00:06/01:37:33]: amsfonts [3542k]
Installing [016/842, time/total: 00:15/11:27]: amslatex-primer [1k]
Installing [017/842, time/total: 00:15/11:27]: amsldoc-it [1k]
Installing [018/842, time/total: 00:15/11:27]: amsmath [29k]
Installing [019/842, time/total: 00:16/12:07]: amsmath-it [1k]
Installing [020/842, time/total: 00:17/12:52]: amstex [38k]
Installing [021/842, time/total: 00:17/12:45]: amstex.win32 [1k]
Installing [022/842, time/total: 00:18/13:30]: amsthdoc-it [1k]
Installing [023/842, time/total: 00:18/13:30]: anysize [2k]
Installing [024/842, time/total: 00:18/13:29]: apnum [8k]
Installing [025/842, time/total: 00:19/14:13]: apprends-latex [1k]
Installing [026/842, time/total: 00:19/14:13]: arabxetex [259k]
Installing [027/842, time/total: 00:20/14:00]: arara [2279k]
Installing [028/842, time/total: 00:26/11:39]: arara.win32 [1k]
Installing [029/842, time/total: 00:26/11:39]: armtex [515k]
Installing [030/842, time/total: 00:27/11:11]: around-the-bend [1k]
Installing [031/842, time/total: 00:28/11:36]: ascii-chart [1k]
Installing [032/842, time/total: 00:28/11:36]: asymptote [259k]
Installing [033/842, time/total: 00:30/11:59]: asymptote.win32 [3027k]
Installing [034/842, time/total: 00:41/11:29]: automata [6k]
Installing [035/842, time/total: 00:42/11:45]: avantgar [236k]
Installing [036/842, time/total: 00:43/11:46]: babel [23k]
Installing [037/842, time/total: 00:43/11:44]: babel-albanian [3k]
Installing [038/842, time/total: 00:43/11:44]: babel-basque [3k]
Installing [039/842, time/total: 00:44/12:00]: babel-breton [3k]
Installing [040/842, time/total: 00:44/12:00]: babel-catalan [4k]
Installing [041/842, time/total: 00:44/12:00]: babel-croatian [3k]
Installing [042/842, time/total: 00:45/12:16]: babel-czech [5k]
Installing [043/842, time/total: 00:45/12:15]: babel-danish [3k]
Installing [044/842, time/total: 00:46/12:32]: babel-dutch [3k]
Installing [045/842, time/total: 00:46/12:31]: babel-english [3k]
Installing [046/842, time/total: 00:46/12:31]: babel-estonian [3k]
Installing [047/842, time/total: 00:47/12:47]: babel-finnish [3k]
Installing [048/842, time/total: 00:47/12:47]: babel-french [13k]
Installing [049/842, time/total: 00:48/13:03]: babel-friulan [2k]
Installing [050/842, time/total: 00:48/13:03]: babel-galician [7k]
Installing [051/842, time/total: 00:49/13:18]: babel-german [4k]
Installing [052/842, time/total: 00:49/13:18]: babel-hungarian [53k]
Installing [053/842, time/total: 00:50/13:30]: babel-icelandic [4k]
Installing [054/842, time/total: 00:50/13:30]: babel-irish [3k]
Installing [055/842, time/total: 00:50/13:30]: babel-italian [4k]
Installing [056/842, time/total: 00:51/13:46]: babel-kurmanji [3k]
Installing [057/842, time/total: 00:51/13:46]: babel-latin [4k]
Installing [058/842, time/total: 00:51/13:45]: babel-latvian [5k]
Installing [059/842, time/total: 00:52/14:01]: babel-norsk [3k]
Installing [060/842, time/total: 00:52/14:01]: babel-piedmontese [2k]
Installing [061/842, time/total: 00:52/14:01]: babel-polish [4k]
Installing [062/842, time/total: 00:53/14:17]: babel-portuges [3k]
Installing [063/842, time/total: 00:53/14:16]: babel-romanian [3k]
Installing [064/842, time/total: 00:54/14:32]: babel-romansh [2k]
Installing [065/842, time/total: 00:54/14:32]: babel-samin [3k]
Installing [066/842, time/total: 00:54/14:32]: babel-scottish [3k]
Installing [067/842, time/total: 00:54/14:32]: babel-slovak [6k]
Installing [068/842, time/total: 00:55/14:48]: babel-slovenian [3k]
Installing [069/842, time/total: 00:55/14:47]: babel-spanish [9k]
Installing [070/842, time/total: 00:56/15:03]: babel-swedish [3k]
Installing [071/842, time/total: 00:56/15:03]: babel-turkish [3k]
Installing [072/842, time/total: 00:56/15:02]: babel-welsh [3k]
Installing [073/842, time/total: 00:56/15:02]: babelbib [26k]
Installing [074/842, time/total: 00:57/15:16]: backnaur [2k]
Installing [075/842, time/total: 00:57/15:16]: basque-book [6k]
Installing [076/842, time/total: 00:58/15:32]: basque-date [2k]
Installing [077/842, time/total: 00:58/15:32]: bbcard [7k]
Installing [078/842, time/total: 00:58/15:31]: beamer [182k]
Installing [079/842, time/total: 01:00/15:47]: beamer-tut-pt [1k]
Installing [080/842, time/total: 01:00/15:47]: begriff [3k]
Installing [081/842, time/total: 01:01/16:02]: bib-fr [14k]
Installing [082/842, time/total: 01:01/16:01]: bibleref-french [5k]
Installing [083/842, time/total: 01:01/16:01]: bibleref-german [8k]
Installing [084/842, time/total: 01:02/16:16]: bibtex [13k]
Installing [085/842, time/total: 01:02/16:15]: bibtex.win32 [40k]
Installing [086/842, time/total: 01:03/16:27]: bibtex8 [9k]
Installing [087/842, time/total: 01:03/16:26]: bibtex8.win32 [117k]
Installing [088/842, time/total: 01:04/16:31]: bibtexu [1k]
