2015-11-21 23:09:31,006+0100 INFO  pdflatex - installing package upquote triggered by tex\latex\upquote\upquote.sty
2015-11-21 23:09:31,092+0100 INFO  pdflatex - mpm: starting package maintenance...
2015-11-21 23:09:31,092+0100 INFO  pdflatex - mpm: installation directory: C:\Users\Public\Dev\altair\texlive
2015-11-21 23:09:31,092+0100 INFO  pdflatex - mpm: package repository: http://ctan.mines-albi.fr/systems/win32/miktex/tm/packages/
2015-11-21 23:09:31,247+0100 INFO  pdflatex - mpm: lightweight database digest: b6dda9a28d3f09bd04806e1f4058fb22
2015-11-21 23:09:31,247+0100 INFO  pdflatex - mpm: going to download 167179 bytes
2015-11-21 23:09:31,247+0100 INFO  pdflatex - mpm: going to install 5 file(s) (1 package(s))
2015-11-21 23:09:31,248+0100 INFO  pdflatex - mpm: downloading http://ctan.mines-albi.fr/systems/win32/miktex/tm/packages/upquote.tar.lzma...
2015-11-21 23:09:31,649+0100 INFO  pdflatex - mpm: 167179 bytes, 408.15 KB/Sec
2015-11-21 23:09:31,650+0100 INFO  pdflatex - mpm: extracting files from upquote.tar.lzma...
2015-11-21 23:09:38,302+0100 INFO  pdflatex - installing package microtype triggered by tex\latex\microtype\microtype.sty
2015-11-21 23:09:38,302+0100 INFO  pdflatex - mpm: starting package maintenance...
2015-11-21 23:09:38,302+0100 INFO  pdflatex - mpm: installation directory: C:\Users\Public\Dev\altair\texlive
2015-11-21 23:09:38,303+0100 INFO  pdflatex - mpm: package repository: http://ctan.mines-albi.fr/systems/win32/miktex/tm/packages/
2015-11-21 23:09:38,457+0100 INFO  pdflatex - mpm: lightweight database digest: b6dda9a28d3f09bd04806e1f4058fb22
2015-11-21 23:09:38,457+0100 INFO  pdflatex - mpm: going to download 1362027 bytes
2015-11-21 23:09:38,457+0100 INFO  pdflatex - mpm: going to install 31 file(s) (1 package(s))
2015-11-21 23:09:38,457+0100 INFO  pdflatex - mpm: downloading http://ctan.mines-albi.fr/systems/win32/miktex/tm/packages/microtype.tar.lzma...
2015-11-21 23:09:39,026+0100 INFO  pdflatex - mpm: 1362027 bytes, 2341.73 KB/Sec
2015-11-21 23:09:39,029+0100 INFO  pdflatex - mpm: extracting files from microtype.tar.lzma...
2015-11-21 23:09:42,655+0100 INFO  pdflatex - installing package booktabs triggered by tex\latex\booktabs\booktabs.sty
2015-11-21 23:09:42,655+0100 INFO  pdflatex - mpm: starting package maintenance...
2015-11-21 23:09:42,655+0100 INFO  pdflatex - mpm: installation directory: C:\Users\Public\Dev\altair\texlive
2015-11-21 23:09:42,655+0100 INFO  pdflatex - mpm: package repository: http://ctan.mines-albi.fr/systems/win32/miktex/tm/packages/
2015-11-21 23:09:42,812+0100 INFO  pdflatex - mpm: lightweight database digest: b6dda9a28d3f09bd04806e1f4058fb22
2015-11-21 23:09:42,812+0100 INFO  pdflatex - mpm: going to download 49201 bytes
2015-11-21 23:09:42,812+0100 INFO  pdflatex - mpm: going to install 6 file(s) (1 package(s))
2015-11-21 23:09:42,812+0100 INFO  pdflatex - mpm: downloading http://ctan.mines-albi.fr/systems/win32/miktex/tm/packages/booktabs.cab...
2015-11-21 23:09:42,877+0100 INFO  pdflatex - mpm: 49201 bytes, 739.20 KB/Sec
2015-11-21 23:09:42,877+0100 INFO  pdflatex - mpm: extracting files from booktabs.cab...
2015-11-21 23:09:44,847+0100 INFO  pdflatex - installing package url triggered by tex\latex\url\url.sty
2015-11-21 23:09:44,847+0100 INFO  pdflatex - mpm: starting package maintenance...
2015-11-21 23:09:44,847+0100 INFO  pdflatex - mpm: installation directory: C:\Users\Public\Dev\altair\texlive
2015-11-21 23:09:44,847+0100 INFO  pdflatex - mpm: package repository: http://ctan.mines-albi.fr/systems/win32/miktex/tm/packages/
2015-11-21 23:09:45,000+0100 INFO  pdflatex - mpm: lightweight database digest: b6dda9a28d3f09bd04806e1f4058fb22
2015-11-21 23:09:45,000+0100 INFO  pdflatex - mpm: going to download 273472 bytes
2015-11-21 23:09:45,000+0100 INFO  pdflatex - mpm: going to install 5 file(s) (1 package(s))
2015-11-21 23:09:45,000+0100 INFO  pdflatex - mpm: downloading http://ctan.mines-albi.fr/systems/win32/miktex/tm/packages/url.tar.lzma...
2015-11-21 23:09:45,096+0100 INFO  pdflatex - mpm: 273472 bytes, 2811.18 KB/Sec
2015-11-21 23:09:45,097+0100 INFO  pdflatex - mpm: extracting files from url.tar.lzma...
2015-11-21 23:09:46,366+0100 INFO  pdflatex - installing package titling triggered by tex\latex\titling\titling.sty
2015-11-21 23:09:46,367+0100 INFO  pdflatex - mpm: starting package maintenance...
2015-11-21 23:09:46,367+0100 INFO  pdflatex - mpm: installation directory: C:\Users\Public\Dev\altair\texlive
2015-11-21 23:09:46,367+0100 INFO  pdflatex - mpm: package repository: http://ctan.mines-albi.fr/systems/win32/miktex/tm/packages/
2015-11-21 23:09:46,519+0100 INFO  pdflatex - mpm: lightweight database digest: b6dda9a28d3f09bd04806e1f4058fb22
2015-11-21 23:09:46,519+0100 INFO  pdflatex - mpm: going to download 192166 bytes
2015-11-21 23:09:46,519+0100 INFO  pdflatex - mpm: going to install 5 file(s) (1 package(s))
2015-11-21 23:09:46,519+0100 INFO  pdflatex - mpm: downloading http://ctan.mines-albi.fr/systems/win32/miktex/tm/packages/titling.tar.lzma...
2015-11-21 23:09:46,594+0100 INFO  pdflatex - mpm: 192166 bytes, 2535.97 KB/Sec
2015-11-21 23:09:46,595+0100 INFO  pdflatex - mpm: extracting files from titling.tar.lzma...
2015-11-21 23:09:47,830+0100 INFO  pdflatex - installing package mptopdf triggered by tex\context\base\supp-pdf.mkii
2015-11-21 23:09:47,830+0100 INFO  pdflatex - mpm: starting package maintenance...
2015-11-21 23:09:47,830+0100 INFO  pdflatex - mpm: installation directory: C:\Users\Public\Dev\altair\texlive
2015-11-21 23:09:47,830+0100 INFO  pdflatex - mpm: package repository: http://ctan.mines-albi.fr/systems/win32/miktex/tm/packages/
2015-11-21 23:09:47,983+0100 INFO  pdflatex - mpm: lightweight database digest: b6dda9a28d3f09bd04806e1f4058fb22
2015-11-21 23:09:47,984+0100 INFO  pdflatex - mpm: going to download 37051 bytes
2015-11-21 23:09:47,984+0100 INFO  pdflatex - mpm: going to install 7 file(s) (1 package(s))
2015-11-21 23:09:47,984+0100 INFO  pdflatex - mpm: downloading http://ctan.mines-albi.fr/systems/win32/miktex/tm/packages/mptopdf.tar.lzma...
2015-11-21 23:09:48,046+0100 INFO  pdflatex - mpm: 37051 bytes, 583.59 KB/Sec
2015-11-21 23:09:48,046+0100 INFO  pdflatex - mpm: extracting files from mptopdf.tar.lzma...
